Field,NPC_RAh,NPC_RAm,NPC_DEdeg,Plate,RAh,RAm,RAs,DE-,DEd,DEm,Diff_X,Diff_Y,Exp.Y,Exp.M,Exp.d,ExpST.h,ExpST.m,Seeing,Obs_Code,Note
489,6,14,-25,1778,6,14,2,-,24,56.9,-0.45,-2.73,1976,11,28.22497,5,10,5,GPA,--
490,6,36,-25,1202,6,36,3,-,25,8.6,-0.69,7.68,1975,12,12.22344,6,0,3,GPA,2
491,6,58,-25,1858,6,57,43,-,24,58.8,3.51,-1.09,1977,1,21.10869,5,55,2,OPA,--
492,7,20,-25,1779,7,19,58,-,25,2.6,0.47,2.28,1976,11,28.27553,6,23,4,GPA,--
493,7,42,-25,1333,7,41,47,-,24,59.2,2.61,-0.7,1976,2,27.0409,6,40,1,OPA,--
494,8,4,-25,1203,8,4,4,-,24,49.6,-0.87,-9.28,1975,12,12.28577,7,30,2,GPA,--
495,8,26,-25,1818,8,25,48,-,25,2.3,2.36,2.01,1976,12,21.25705,7,27,4,OPA,--
496,8,48,-25,1859,8,47,48,-,25,3.5,2.35,3.09,1977,1,21.18764,7,49,2,OPA,--
497,9,10,-25,1338,9,9,30,-,25,0.3,6.13,0.26,1976,2,28.10119,8,11,1,OPA,--
498,9,32,-25,1457,9,32,7,-,25,4.8,-1.31,4.28,1976,4,23.96699,8,38,3,GPA,2
499,9,54,-25,1450,9,53,51,-,25,1.9,1.85,1.67,1976,4,21.98422,8,55,1,GPA,--
500,10,16,-25,1448,10,16,0,-,25,2.1,-0.01,1.83,1976,4,21.0008,9,15,3,GPA,2
501,10,38,-25,1466,10,37,51,-,25,4.4,1.84,3.9,1976,4,26.001,9,35,2,GPA,--
502,11,0,-25,1339,10,59,48,-,25,1.1,2.38,1.01,1976,2,28.18361,10,10,2,OPA,--
503,11,22,-25,1335,11,21,40,-,25,6.4,4.01,5.71,1976,2,27.19534,10,23,2,OPA,--
504,11,44,-25,1459,11,43,55,-,24,51.4,1.0,-7.64,1976,4,24.05494,10,45,4,GPA,2
505,12,6,-25,1432,12,5,53,-,25,0.5,1.5,0.46,1976,4,3.12405,11,2,1,GPA,--
506,12,28,-25,1438,12,27,59,-,25,8.0,0.25,7.08,1976,4,5.13798,11,30,1,OPA,--
507,12,50,-25,1456,12,49,49,-,25,0.2,2.3,0.14,1976,4,23.10269,11,50,4,OPA,2
508,13,12,-25,1336,13,11,44,-,25,5.4,3.3,4.76,1976,2,27.26806,12,8,2,HES,--
509,13,34,-25,1955,13,33,51,-,24,58.7,1.82,-1.19,1977,2,18.3058,12,30,2,OPA,--
510,13,56,-25,1453,13,55,54,-,25,3.9,1.18,3.48,1976,4,22.15043,12,55,2,OPA,--
511,14,18,-25,1489,14,17,51,-,24,56.9,1.9,-2.74,1976,4,29.14517,13,15,2,OPA,--
512,14,40,-25,1493,14,40,0,-,24,58.3,0.1,-1.49,1976,4,30.15976,13,40,4,GPA,--
513,15,2,-25,1443,15,1,52,-,25,6.9,1.6,6.13,1976,4,6.23914,14,0,1,GPA,--
514,15,24,-25,1551,15,24,3,-,24,54.6,-0.57,-4.82,1976,6,30.02436,14,25,1,OPA,--
515,15,46,-25,1516,15,45,51,-,25,5.1,1.8,4.5,1976,5,30.12078,14,42,4,HES,--
516,16,8,-25,1444,16,7,37,-,25,0.9,4.63,0.77,1976,4,6.28761,15,10,1,OPA,--
517,16,30,-25,1465,16,29,50,-,25,2.0,2.01,1.82,1976,4,25.24682,15,26,2,OPA,--
518,16,52,-25,1550,16,51,24,-,25,6.5,7.33,5.78,1976,6,26.09069,15,45,5,HES,6
519,17,14,-25,1445,17,13,58,-,25,5.7,0.36,5.08,1976,4,6.33609,16,20,1,GPA,--
520,17,36,-25,1496,17,35,45,-,25,3.1,2.93,2.75,1976,5,2.27549,16,35,2,OPA,--
521,17,58,-25,1501,17,57,51,-,24,55.7,1.86,-3.83,1976,5,3.29007,17,0,1,GPA,--
522,18,20,-25,2198,18,19,39,-,25,0.4,4.15,0.31,1977,6,14.18991,17,20,2,OPA,--
523,18,42,-25,2236,18,41,53,-,25,4.1,1.34,3.6,1977,8,17.02901,17,40,4,OPA,--
524,19,4,-25,2282,19,3,59,-,25,3.1,0.18,2.78,1977,9,3.99371,18,0,2,HES,--
525,19,26,-25,2286,19,25,59,-,25,0.8,0.11,0.67,1977,9,5.03046,18,57,2,HES,--
526,19,48,-25,2161,19,47,41,-,24,57.3,3.82,-2.41,1977,5,15.33207,18,47,3,HES,--
527,20,10,-25,2177,20,9,50,-,25,1.7,1.97,1.49,1977,5,27.31524,19,10,2,OPA,--
528,20,32,-25,2283,20,31,51,-,25,5.6,1.91,4.97,1977,9,4.05812,19,33,2,HES,--
529,20,54,-25,2287,20,53,48,-,25,1.5,2.42,1.35,1977,9,5.08378,20,14,2,HES,--
530,21,16,-25,1565,21,16,9,-,24,54.5,-1.85,-4.89,1976,7,2.25922,20,12,2,HES,--
531,21,38,-25,1660,21,37,54,-,25,3.1,1.28,2.8,1976,10,12.99737,20,40,4,GPA,--
532,22,0,-25,1664,21,59,52,-,25,0.2,1.7,0.15,1976,10,18.99484,21,0,3,OPA,--
533,22,22,-25,1662,22,21,44,-,25,2.4,3.22,2.12,1976,10,17.01415,21,20,5,OPA,--
534,22,44,-25,1676,22,44,0,-,25,12.5,-0.1,11.1,1976,10,23.01508,21,45,2,GPA,--
535,23,6,-25,1687,23,6,8,-,25,0.3,-1.6,0.27,1976,10,25.02001,22,0,3,GPA,--
536,23,28,-25,2451,23,27,50,-,25,1.3,1.94,1.17,1977,11,10.00884,22,46,3,HES,--
537,23,50,-25,2436,23,50,19,-,24,55.4,-3.75,-4.1,1977,11,7.0205,22,51,3,GPA,--
538,0,0,-20,2855,0,0,24,-,20,8.4,-5.02,7.49,1978,8,9.27521,23,3,3,GPA,--
539,0,21,-20,2247,0,20,48,-,20,6.3,2.53,5.57,1977,8,19.25901,23,20,3,OPA,--
540,0,42,-20,2223,0,41,46,-,20,0.0,2.92,0.03,1977,7,25.34667,23,48,3,OPA,--
541,1,3,-20,2248,1,2,45,-,19,52.0,3.08,-7.15,1977,8,19.31026,0,34,2,OPA,--
542,1,24,-20,2861,1,24,12,-,20,7.2,-2.6,6.45,1978,8,10.33896,0,39,3,GPA,--
543,1,45,-20,2453,1,45,4,-,20,2.2,-0.86,1.94,1977,12,10.0135,0,51,2,HES,--
544,2,6,-20,2483,2,6,1,-,20,9.0,-0.12,7.99,1977,12,2.05889,1,25,2,HES,--
545,2,27,-20,2458,2,26,50,-,20,4.9,2.12,4.34,1977,11,11.12523,1,38,5,OPA,--
546,2,48,-20,1678,2,47,55,-,20,7.2,0.99,6.36,1976,1,22.93216,1,45,2,GPA,--
547,3,9,-20,1816,3,8,46,-,19,59.0,3.01,-0.88,1976,12,21.03751,2,10,3,OPA,--
548,3,30,-20,2484,3,30,8,-,20,11.3,-1.68,10.04,1977,12,2.11291,2,43,2,HES,--
549,3,51,-20,2444,3,50,48,-,20,10.5,2.51,9.35,1977,11,8.18329,2,50,2,GPA,--
550,4,12,-20,1812,4,12,6,-,19,55.5,-1.27,-4.03,1976,12,20.08387,3,13,2,OPA,--
551,4,33,-20,1809,4,33,11,-,19,59.0,-2.2,-0.9,1976,12,15.1093,3,30,5,OPA,3
552,4,54,-20,2358,4,54,12,-,19,56.2,-2.61,-3.38,1977,10,9.31991,4,9,2,HES,--
553,5,15,-20,1839,5,14,27,-,20,7.9,6.92,7.0,1977,1,11.06674,4,15,1,AZU,--
554,5,36,-20,1775,5,35,56,-,20,1.4,0.91,1.23,1976,11,27.20693,4,40,2,GPA,--
555,5,57,-20,2459,5,57,9,-,20,0.8,-1.8,0.74,1977,11,11.26513,5,0,5,OPA,--
556,6,18,-20,1868,6,17,56,-,20,4.0,0.91,3.57,1977,1,24.0728,5,15,1,OPA,--
557,6,39,-20,1854,6,39,2,-,20,6.1,-0.5,5.42,1977,1,20.10104,5,40,2,OPA,--
558,7,0,-20,1865,6,59,48,-,19,57.7,2.47,-2.09,1977,1,23.11362,6,10,3,OPA,--
559,7,21,-20,1784,7,21,1,-,20,4.2,-0.27,3.71,1976,11,30.26868,6,21,4,GPA,--
560,7,42,-20,1772,7,41,58,-,20,2.3,0.38,2.01,1976,11,26.29276,6,40,2,GPA,--
561,8,3,-20,1814,8,2,56,-,20,4.0,0.88,3.59,1976,12,20.24732,7,9,3,OPA,--
562,8,24,-20,1953,8,23,52,-,20,7.5,1.73,6.69,1977,2,18.09457,7,25,2,OPA,--
563,8,45,-20,3087,8,45,7,-,20,4.0,-1.44,3.57,1978,12,3.27913,6,46,2,GPA,--
564,9,6,-20,1851,9,6,13,-,19,58.4,-2.65,-1.45,1977,1,19.21042,8,14,2,OPA,--
565,9,27,-20,1430,9,26,54,-,19,55.4,1.15,-4.07,1976,4,3.01879,8,30,2,GPA,2
566,9,48,-20,2592,9,47,54,-,19,51.7,1.23,-7.34,1978,1,16.24697,8,54,2,GPA,--
567,10,9,-20,1454,10,8,49,-,19,54.2,2.38,-5.16,1976,4,22.99188,9,10,2,GPA,--
568,10,30,-20,1856,10,29,51,-,19,59.6,1.88,-0.33,1977,1,20.26032,9,30,2,OPA,--
569,10,51,-20,1392,10,50,55,-,20,6.7,1.11,5.92,1976,3,22.11042,9,55,2,GPA,--
570,11,12,-20,1860,11,11,47,-,20,0.5,2.79,0.46,1977,1,21.28529,10,10,2,OPA,--
571,11,33,-20,2083,11,32,55,-,20,5.1,0.97,4.51,1977,3,27.14867,11,9,2,HES,3
572,11,54,-20,2040,11,54,1,-,19,57.5,-0.26,-2.19,1977,3,16.16901,10,55,3,HES,--
573,12,15,-20,1943,12,14,53,-,20,0.2,1.47,0.16,1977,2,16.25932,11,15,1,HES,--
574,12,36,-20,1503,12,36,3,-,19,55.3,-0.53,-4.18,1976,5,4.06226,11,35,3,GPA,3
575,12,57,-20,1488,12,56,53,-,20,7.0,1.54,6.27,1976,4,29.09254,11,59,2,GPA,--
576,13,18,-20,1499,13,18,4,-,20,4.9,-0.82,4.4,1976,5,3.0927,12,15,4,GPA,--
577,13,39,-20,2011,13,38,54,-,19,58.2,1.17,-1.61,1977,2,28.28542,12,40,3,HES,--
578,14,0,-20,2084,13,59,58,-,20,2.9,0.38,2.56,1977,3,27.23109,13,8,3,HES,1
579,14,21,-20,1541,14,21,11,-,20,8.8,-2.24,7.81,1976,6,23.99712,13,22,4,GPA,--
580,14,42,-20,1495,14,41,53,-,19,55.6,1.37,-3.91,1976,5,2.15706,13,44,3,GPA,--
581,15,3,-20,1500,15,2,58,-,19,56.3,0.36,-3.25,1976,5,3.16541,14,0,3,OPA,--
582,15,24,-20,2072,15,23,47,-,19,57.1,2.63,-2.56,1977,3,25.28988,14,25,3,GPA,--
583,15,45,-20,2171,15,44,42,-,20,2.7,3.72,2.44,1977,5,20.15636,14,53,3,HES,--
584,16,6,-20,2078,16,6,3,-,20,6.8,-0.63,6.08,1977,3,26.32039,15,13,2,HES,--
585,16,27,-20,2191,16,26,48,-,20,5.0,2.6,4.44,1977,6,11.11846,15,25,3,OPA,--
586,16,48,-20,2159,16,47,55,-,20,0.7,1.0,0.67,1977,5,15.21919,16,4,4,HES,--
587,17,9,-20,2150,17,8,46,-,20,8.4,2.95,7.48,1977,5,13.2288,16,10,3,HES,--
588,17,30,-20,1543,17,29,50,-,20,6.6,2.08,5.85,1976,6,24.12524,16,27,3,HES,--
589,17,51,-20,2154,17,50,43,-,20,0.7,3.66,0.63,1977,5,14.25377,16,50,3,HES,--
590,18,12,-20,2192,18,11,36,-,20,0.8,5.02,0.75,1977,6,11.19117,17,10,4,OPA,--
591,18,33,-20,2202,18,32,59,-,20,2.1,0.17,1.83,1977,6,16.19137,17,30,3,GPA,--
592,18,54,-20,2241,18,53,45,-,20,2.8,3.2,2.48,1977,8,18.05537,18,22,3,OPA,--
593,19,15,-20,2290,19,14,57,-,20,1.8,0.6,1.6,1977,9,5.99864,18,15,3,OPA,--
594,19,36,-20,2199,19,35,52,-,20,3.2,1.75,2.81,1977,6,14.24808,18,44,5,HES,--
595,19,57,-20,2196,19,56,43,-,20,7.8,3.55,6.9,1977,6,13.26189,19,0,2,OPA,--
596,20,18,-20,2175,20,17,52,-,20,1.5,1.63,1.34,1977,5,20.34127,19,20,4,HES,--
597,20,39,-20,2291,20,38,58,-,20,4.3,0.39,3.8,1977,9,6.05612,19,38,3,HES,--
598,21,0,-20,2296,20,59,56,-,20,6.7,0.77,5.98,1977,9,7.06863,20,0,3,GPA,--
599,21,21,-20,1617,21,20,53,-,20,7.7,1.45,6.84,1976,8,22.12689,20,22,5,HES,2
600,21,42,-20,1661,21,42,10,-,20,10.0,-2.16,8.89,1976,10,13.99811,20,45,4,GPA,--
601,22,3,-20,1612,22,3,1,-,19,56.4,-0.31,-3.22,1976,8,21.15178,20,54,3,GPA,--
602,22,24,-20,2986,22,24,19,-,20,1.5,-3.96,1.34,1978,9,27.0867,21,44,3,HES,--
603,22,45,-20,1613,22,45,3,-,20,0.1,-0.53,0.13,1976,8,21.20857,22,16,2,HES,--
604,23,6,-20,2293,23,6,5,-,20,7.9,-1.14,7.07,1977,9,6.16831,22,20,2,OPA,--
605,23,27,-20,2243,23,26,14,-,19,53.9,9.67,-5.44,1977,8,18.24651,22,58,3,OPA,--
606,23,48,-20,2303,23,48,21,-,20,7.8,-4.41,6.91,1977,9,11.17544,22,50,3,HES,--
