RFGC,FGC(E),m_FGC(E),PGC,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s,GLON,GLAT,PA,---,aO,bO,aE,bE,Btot,AB,MType,As,SB,N,Notes
--,972,E,--,12,35,29.8,-,36,9,45,12,32,48.8,-,35,53,14,299.33,26.6,172,--,0.45,0.05,0.47,0.07,17.9,0.28,d,0,III,0,--
2328,1465,--,41950,12,35,38.6,-,0,12,21,12,33,5.0,+,0,4,10,294.39,62.4,40,2328,0.84,0.11,0.81,0.12,16.6,0.09,c,1,II,2,Member of triplet
2329,1466,--,41974,12,35,41.3,+,26,17,12,12,33,12.5,+,26,33,43,225.5,86.38,141,2329,1.06,0.11,1.14,0.12,16.3,0.06,d,1,II,1,--
2330,1467,--,--,12,35,52.3,+,44,42,8,12,33,28.7,+,44,58,38,131.99,72.15,144,2330,0.68,0.09,0.67,0.11,16.9,0.06,c,1,II,1,Galaxy 0.6 at 2.0 SW
2331,973,E,--,12,36,0.0,-,35,36,32,12,33,19.1,-,35,20,2,299.41,27.16,58,2331,0.74,0.09,0.78,0.11,16.8,0.28,c,0,II,4,--
2332,1469,--,--,12,36,9.6,+,48,49,16,12,33,47.6,+,49,5,46,129.69,68.11,17,2332,0.87,0.1,0.95,0.12,16.6,0.06,cd,0,II,1,--
2333,1470,--,42035,12,36,16.8,+,20,59,56,12,33,47.1,+,21,16,27,272.7,82.96,152,2333,1.25,0.12,1.28,0.12,16.1,0.14,cd,1,II,0,--
2334,1468,--,--,12,36,19.9,-,9,42,49,12,33,44.3,-,9,26,19,296.74,52.98,143,2334,0.9,0.11,0.9,0.13,16.5,0.13,bc,0,II,0,--
2335,1471,--,42038,12,36,21.1,+,25,59,6,12,33,52.5,+,26,15,37,230.8,86.44,135,2335,15.9,1.85,15.9,2.02,10.6,0.06,bc,0,II,1,Slightly asymmetric dust lane
2336,1472,--,42045,12,36,24.0,+,40,0,18,12,33,59.0,+,40,16,48,135.59,76.75,101,2336,3.54,0.47,3.21,0.5,14.2,0.07,c,1,II,0,--
2337,974,E,42066,12,36,33.5,-,28,10,26,12,33,54.3,-,27,53,56,298.95,34.58,34,2337,0.82,0.1,0.78,0.16,16.7,0.3,c,0,II,1,Diffuse
2338,1473,--,--,12,36,38.4,+,40,15,54,12,34,13.5,+,40,32,24,135.12,76.51,83,2338,0.87,0.11,0.9,0.13,16.5,0.08,c,1,II,1,--
2339,1474,--,42083,12,36,48.0,+,27,32,56,12,34,19.5,+,27,49,26,204.72,86.72,121,2339,1.64,0.16,1.56,0.18,15.6,0.07,cd,1,I,2,--
2340,1475,--,--,12,36,55.2,+,1,36,52,12,34,21.6,+,1,53,22,294.56,64.25,2,2340,1.01,0.12,0.78,0.19,16.4,0.08,dm,1,II,0,Slightly curved
2341,1476,--,--,12,37,14.6,-,19,31,5,12,34,37.1,-,19,14,35,298.34,43.23,19,2341,1.05,0.1,1.12,0.09,16.5,0.22,d,0,III,0,--
2342,975,E,42140,12,37,25.3,-,40,10,40,12,34,42.8,-,39,54,11,300.03,22.61,136,2342,1.45,0.13,1.36,0.19,16.2,0.44,cd,0,III,1,Diffuse. Curved ends
2343,1477,--,42170,12,37,44.9,-,20,34,19,12,35,7.1,-,20,17,50,298.61,42.18,115,2343,0.86,0.11,0.86,0.12,16.7,0.23,c,1,III,0,Fine compan. proj. on E side
2344,1479,--,42230,12,38,21.6,+,7,53,28,12,35,49.2,+,8,9,57,293.18,70.51,58,2344,2.41,0.26,2.18,0.28,15.0,0.11,dm,1,II,2,Faint second layer?
2345,1480,--,42255,12,38,36.0,+,1,24,8,12,36,2.4,+,1,40,36,295.57,64.09,147,2345,1.9,0.21,1.74,0.21,15.4,0.1,cd,1,II,2,--
2346,1481,--,42264,12,38,37.4,+,10,28,34,12,36,5.6,+,10,45,2,292.05,73.08,93,2346,4.03,0.39,3.53,0.43,14.6,0.09,c,1,IV,2,"Slightly curved.""Malin 1""-type"
2347,1478,--,--,12,39,9.1,+,74,29,48,12,37,15.6,+,74,46,16,124.05,42.61,162,2347,0.93,0.07,0.96,0.07,16.8,0.09,d,0,II,0,--
2348,976,E,--,12,39,20.2,-,49,46,20,12,36,33.5,-,49,29,51,300.93,13.05,147,2348,0.82,0.09,0.75,0.11,16.8,0.54,c,1,II,0,Diffuse faint ends
2349,1482,--,42354,12,39,28.8,+,4,16,4,12,36,55.9,+,4,32,32,295.3,66.96,155,2349,1.01,0.13,1.01,0.15,16.3,0.12,c,0,II,0,--
2350,1483,--,--,12,39,48.7,-,17,32,22,12,37,11.3,-,17,15,54,298.99,45.24,89,2350,0.95,0.09,0.84,0.09,16.8,0.17,d,1,III,1,--
2351,977,E,42483,12,40,40.8,-,36,44,20,12,37,58.6,-,36,27,53,300.53,26.08,110,2351,1.28,0.15,1.16,0.17,16.0,0.29,cd,0,II,2,--
2352,1486,--,42475,12,40,50.4,+,73,43,8,12,38,56.7,+,73,59,35,123.95,43.39,166,2352,1.27,0.16,1.22,0.17,15.9,0.08,d,0,II,0,--
2353,1484,--,--,12,41,24.5,-,8,36,52,12,38,48.9,-,8,20,25,298.69,54.17,49,2353,0.91,0.11,0.84,0.12,16.6,0.11,c,0,II,1,Sp. gal. 1.8 at 1.6W
2354,1485,--,--,12,41,28.8,-,3,15,14,12,38,54.3,-,2,58,48,298.03,59.52,141,2354,0.67,0.09,0.63,0.1,17.1,0.12,dm,2,III,0,--
2355,1487,--,--,12,41,45.6,-,9,9,4,12,39,10.0,-,8,52,38,298.9,53.64,8,2355,1.1,0.1,0.92,0.11,16.7,0.14,c,1,III,3,Sp. gal. 0.8 at 1.8 SW
2356,978,E,42623,12,42,0.7,-,24,17,51,12,39,21.7,-,24,1,24,300.19,38.52,67,2356,0.74,0.09,0.78,0.11,16.8,0.35,c,1,II,0,--
2357,1488,--,--,12,42,15.8,+,39,33,54,12,39,52.0,+,39,50,20,131.07,77.42,9,2357,1.01,0.1,0.99,0.11,16.5,0.06,cd,1,II,1,--
2358,1490,--,42736,12,42,49.9,+,31,53,25,12,40,23.8,+,32,9,51,143.87,84.88,28,2358,1.14,0.12,1.12,0.12,16.2,0.06,cd,0,II,0,--
2359,1495,--,--,12,42,52.8,+,80,16,30,12,41,31.6,+,80,32,55,123.38,36.85,67,2359,0.81,0.1,0.81,0.09,16.8,0.37,cd,2,III,1,Fine knots
2360,1489,--,--,12,42,54.0,-,0,29,54,12,40,20.2,-,0,13,29,298.34,62.3,126,2360,0.84,0.09,0.81,0.11,17.0,0.1,bc,1,III,1,--
2361,1492,--,--,12,43,7.4,+,45,51,20,12,40,46.2,+,46,7,45,127.43,71.2,161,2361,1.04,0.09,1.08,0.1,16.5,0.05,d,0,II,0,--
2362,1491,--,--,12,43,18.5,-,7,0,33,12,40,43.3,-,6,44,7,299.34,55.81,18,2362,0.88,0.09,0.86,0.09,16.8,0.12,dm,1,III,0,Blue knots
2363,1493,--,--,12,43,24.0,-,9,41,55,12,40,48.1,-,9,25,30,299.63,53.12,174,2363,0.94,0.13,0.94,0.15,16.3,0.17,c,0,II,1,--
2364,979,E,--,12,43,31.1,-,40,22,34,12,40,47.0,-,40,6,8,301.3,22.47,51,2364,0.83,0.09,0.92,0.12,16.7,0.51,cd,0,II,2,--
2365,1494,--,--,12,43,31.2,-,14,20,16,12,40,54.2,-,14,3,51,300.04,48.49,161,2365,0.8,0.1,0.71,0.09,17.1,0.21,c,0,IV,1,Spiral 0.3 at 0.9 NE
2366,980,E,42830,12,43,39.4,-,41,15,37,12,40,54.9,-,40,59,12,301.36,21.59,49,2366,1.25,0.09,0.97,0.12,16.7,0.69,cd,0,III,3,--
2367,981,E,42880,12,44,9.6,-,36,30,41,12,41,26.7,-,36,14,17,301.3,26.34,4,2367,1.86,0.2,1.55,0.2,15.4,0.29,bc,1,I,0,In triplet
2368,1496,--,42898,12,44,19.2,-,5,32,11,12,41,44.4,-,5,15,46,299.65,57.29,45,2368,2.02,0.12,1.85,0.13,15.9,0.1,dm,1,III,1,Two-layers
2369,983,E,--,12,44,47.0,-,19,41,40,12,42,8.8,-,19,25,16,300.79,43.15,48,2369,0.9,0.1,0.87,0.12,16.8,0.23,c,0,III,0,Bright contrast nucleus
2370,982,E,--,12,44,48.1,-,40,34,5,12,42,3.6,-,40,17,41,301.57,22.29,131,2370,0.61,0.07,0.5,0.1,17.3,0.47,d,0,II,1,--
2371,984,E,42962,12,44,57.5,-,40,46,34,12,42,12.9,-,40,30,9,301.61,22.08,139,2371,1.18,0.1,1.02,0.17,16.5,0.47,c,0,II,6,Diffuse
2372,985,E,--,12,45,28.8,-,32,45,43,12,42,46.9,-,32,29,20,301.48,30.09,73,2372,0.73,0.09,0.75,0.12,16.9,0.35,bc,0,II,3,Knots
2373,986,E,43021,12,45,42.1,-,26,14,37,12,43,2.1,-,25,58,14,301.33,36.61,129,2373,2.89,0.35,2.51,0.33,14.5,0.34,b,0,I,1,--
2374,1497,--,--,12,47,0.0,+,32,39,7,12,44,34.7,+,32,55,29,132.54,84.39,69,2374,1.46,0.18,1.37,0.15,15.8,0.06,dm,2,III,1,--
2375,1498,--,43136,12,47,9.6,+,9,0,59,12,44,38.0,+,9,17,21,299.54,71.86,160,2375,1.12,0.16,1.01,0.2,16.3,0.11,b,0,III,1,--
2376,1499,--,43142,12,47,12.0,+,26,42,50,12,44,45.1,+,26,59,12,236.38,88.97,28,2376,1.48,0.19,1.46,0.21,15.6,0.05,c,0,II,1,Compan. at 1.5 W
2377,1501,--,--,12,47,21.1,+,72,12,50,12,45,29.6,+,72,29,11,123.37,44.91,144,2377,0.94,0.13,0.99,0.15,16.3,0.08,d,1,II,0,--
2378,1500,--,43198,12,47,53.0,-,1,11,9,12,45,19.1,-,0,54,48,301.06,61.67,52,2378,1.4,0.13,1.46,0.12,16.1,0.1,dm,1,III,0,Wide eroded S end
2379,1503,--,--,12,48,50.4,+,28,58,5,12,46,24.3,+,29,14,25,140.09,88.07,100,2379,0.75,0.1,0.82,0.11,16.7,0.06,bc,1,II,1,--
2380,1502,--,43313,12,49,0.0,-,14,23,56,12,46,22.9,-,14,7,36,302.04,48.47,32,2380,2.4,0.24,2.4,0.24,15.1,0.22,d,0,III,0,--
2381,1504,--,43342,12,49,19.2,-,9,6,31,12,46,43.3,-,8,50,10,302.05,53.76,152,2381,3.49,0.47,3.58,0.56,14.3,0.15,b,0,III,4,Slightly eccentric dust lane
2382,1505,--,--,12,49,23.8,+,29,19,17,12,46,58.0,+,29,35,37,134.39,87.76,156,2382,1.0,0.1,0.97,0.11,16.5,0.05,cd,1,II,0,--
2383,1506,--,43336,12,49,26.4,+,69,35,13,12,47,30.6,+,69,51,33,123.19,47.54,69,2383,1.14,0.12,1.16,0.15,16.4,0.06,bc,1,III,1,Slightly curved right edge
2384,987,E,43365,12,49,33.6,-,19,28,19,12,46,54.9,-,19,11,59,302.32,43.4,84,2384,1.01,0.07,0.97,0.12,16.9,0.24,c,0,II,2,Curved arms.Neighbour 0.3 to N
2385,988,E,--,12,49,57.0,-,22,6,21,12,47,17.6,-,21,50,1,302.48,40.76,86,2385,0.89,0.08,0.75,0.12,16.9,0.3,c,0,II,3,--
2386,1508,--,43452,12,50,31.2,+,52,7,23,12,48,15.9,+,52,23,41,123.26,65.0,145,2386,2.33,0.27,2.33,0.28,15.0,0.05,c,0,II,0,--
2387,1507,--,43470,12,50,39.1,+,1,27,52,12,48,5.8,+,1,44,11,302.48,64.34,171,2387,2.24,0.21,2.24,0.22,15.2,0.1,d,1,II,0,More diffuse S side
2388,989,E,--,12,50,43.1,-,31,49,59,12,48,0.5,-,31,33,40,302.75,31.04,123,2388,0.98,0.09,0.73,0.1,16.8,0.33,c,0,II,2,--
2389,990,E,43512,12,51,3.6,-,48,21,49,12,48,13.8,-,48,5,30,302.87,14.51,144,2389,0.86,0.1,1.05,0.12,16.5,0.69,cd,0,II,2,Knots. Stars projected
2390,1509,--,--,12,51,5.0,-,8,26,23,12,48,29.2,-,8,10,5,302.78,54.43,0,2390,1.12,0.16,1.18,0.17,16.1,0.16,cd,1,III,4,--
2391,1510,--,43517,12,51,9.6,+,28,47,17,12,48,43.9,+,29,3,35,125.02,88.34,33,2391,2.35,0.26,2.18,0.31,14.9,0.06,c,0,I,0,"Fluffy  ""pimpled"" N side"
2392,991,E,--,12,51,15.8,-,28,15,34,12,48,34.4,-,27,59,16,302.89,34.61,33,2392,0.76,0.07,0.87,0.1,17.0,0.24,c,0,II,1,Contrast nucleus
2393,993,E,43549,12,51,26.3,-,22,6,40,12,48,46.7,-,21,50,21,302.93,40.76,148,2393,0.89,0.1,0.54,0.1,17.1,0.31,c,0,III,2,Contrast nucleus
2394,1511,--,43548,12,51,26.4,-,17,48,11,12,48,47.9,-,17,31,53,302.93,45.07,105,2394,0.78,0.11,0.78,0.11,16.8,0.21,c,0,III,0,--
2395,1512,--,43552,12,51,28.8,-,21,54,47,12,48,49.3,-,21,38,29,302.95,40.96,61,2395,0.94,0.13,0.69,0.12,16.7,0.27,m,1,IV,1,--
2396,992,E,43551,12,51,28.8,-,43,39,11,12,48,41.3,-,43,22,52,302.94,19.22,90,2396,1.08,0.1,1.11,0.1,16.4,0.42,c,0,II,0,--
2397,994,E,43567,12,51,36.0,-,44,7,8,12,48,48.2,-,43,50,50,302.96,18.75,80,2397,0.76,0.08,0.67,0.08,17.0,0.34,c,0,II,0,--
2398,995,E,43629,12,52,5.5,-,23,47,29,12,49,25.3,-,23,31,11,303.12,39.08,143,2398,0.95,0.08,0.92,0.09,16.8,0.42,c,0,II,1,In pair. Neighbour at 0.4 W
2399,1513,--,43679,12,52,26.4,-,9,45,13,12,49,50.1,-,9,28,56,303.34,53.12,66,2399,2.55,0.22,2.46,0.24,15.0,0.19,dm,1,II,3,Sp. gal. 1.2 at 2.5 SE
2400,1516,--,--,12,52,28.1,+,78,57,53,12,51,12.2,+,79,14,9,122.87,38.16,125,2400,0.75,0.1,0.73,0.1,16.7,0.29,d,0,II,2,--
2401,996,E,43683,12,52,31.1,-,31,56,31,12,49,48.2,-,31,40,14,303.2,30.93,71,2401,0.92,0.07,0.75,0.09,17.0,0.36,c,0,II,2,Sharp nucl.and thin f.arms
2402,997,E,--,12,52,40.4,-,35,17,43,12,49,56.2,-,35,1,26,303.22,27.58,132,2402,0.8,0.09,0.75,0.11,16.8,0.26,d,0,II,1,--
2403,998,E,43716,12,52,50.5,-,40,20,28,12,50,4.2,-,40,4,11,303.22,22.53,133,2403,1.61,0.1,1.55,0.11,16.3,0.47,d,0,III,1,Diffuse. Stars proj.
2404,1000,E,43742,12,52,59.9,-,24,3,29,12,50,19.5,-,23,47,12,303.39,38.81,108,2404,1.27,0.13,1.14,0.11,16.1,0.48,d,1,II,2,Dust.Knots.In pair? Gal.0.6N
2405,999,E,--,12,53,7.1,-,46,21,47,12,50,17.7,-,46,5,30,303.23,16.51,152,2405,0.7,0.09,0.7,0.11,16.9,0.42,c,0,II,2,--
2406,1001,E,43778,12,53,18.6,-,44,34,35,12,50,30.1,-,44,18,18,303.28,18.29,122,2406,0.91,0.09,0.81,0.11,16.8,0.4,c,0,II,0,--
2407,1514,--,--,12,53,21.8,+,26,46,24,12,50,55.7,+,27,2,40,353.44,89.44,158,2407,0.73,0.1,0.73,0.11,16.8,0.04,c,0,II,1,--
2408,1002,E,43787,12,53,24.0,-,42,8,31,12,50,36.7,-,41,52,15,303.32,20.73,18,2408,1.45,0.2,1.36,0.21,15.6,0.48,d,0,II,1,Dust lane. Knots
--,1003,E,--,12,53,38.8,-,29,48,12,12,50,56.4,-,29,31,56,303.5,33.07,121,--,0.56,0.05,0.58,0.07,17.6,0.35,c,0,II,4,--
2409,1515,--,--,12,53,40.8,-,12,3,14,12,51,4.0,-,11,46,58,303.8,50.81,166,2409,1.06,0.11,0.9,0.12,16.5,0.19,c,1,II,2,Nearest sp. gal. 1.0 at 2.3N
2410,1004,E,--,12,53,57.5,-,24,35,17,12,51,16.8,-,24,19,1,303.66,38.28,150,2410,0.73,0.07,0.48,0.1,17.4,0.4,c,0,II,2,--
2411,1518,--,43863,12,54,2.4,+,29,36,14,12,51,37.5,+,29,52,30,110.06,87.46,72,2411,2.22,0.3,2.04,0.32,15.0,0.07,b,0,II,1,--
2412,1517,--,--,12,54,4.8,+,0,10,31,12,51,31.0,+,0,26,47,304.39,63.04,52,2412,0.78,0.09,0.92,0.1,16.8,0.1,d,1,III,0,--
2413,1522,--,--,12,54,18.0,+,78,48,16,12,53,3.5,+,79,4,30,122.75,38.32,63,2413,1.03,0.13,1.08,0.16,16.4,0.26,bc,0,III,4,Compact compan.0.4 at 0.5 NW
2414,1005,E,43897,12,54,20.5,-,31,46,55,12,51,37.3,-,31,30,40,303.65,31.09,76,2414,0.98,0.09,0.82,0.11,16.9,0.36,c,0,III,3,In cluster
2415,1519,--,--,12,54,24.0,-,10,12,43,12,51,47.6,-,9,56,28,304.13,52.65,54,2415,1.12,0.11,1.15,0.12,16.4,0.2,dm,2,III,2,V.faint extended subsystem
2416,1520,--,43928,12,54,37.4,-,11,36,25,12,52,0.6,-,11,20,10,304.18,51.26,168,2416,1.83,0.2,1.87,0.22,15.6,0.2,c,0,III,3,--
2417,1521,--,--,12,54,57.6,+,30,42,32,12,52,33.1,+,30,58,47,111.0,86.34,12,2417,0.81,0.11,0.75,0.11,16.7,0.06,c,1,II,0,--
2418,1006,E,44063,12,55,38.6,-,22,31,5,12,52,58.4,-,22,14,51,304.21,40.34,27,2418,1.16,0.16,1.02,0.16,16.0,0.49,d,0,II,0,--
2419,1523,--,44066,12,55,39.1,-,0,15,51,12,53,5.2,+,0,0,23,305.22,62.59,59,2419,1.57,0.22,1.57,0.28,15.7,0.11,m,2,IV,0,Bluish. Diffuse
2420,1524,--,--,12,55,47.0,+,59,21,52,12,53,40.0,+,59,38,5,121.89,57.76,79,2420,0.97,0.12,0.88,0.13,16.5,0.05,bc,0,II,1,--
2421,1007,E,44091,12,55,55.2,-,39,19,52,12,53,8.6,-,39,3,38,303.88,23.53,175,2421,1.46,0.13,1.05,0.11,16.4,0.4,bc,0,III,3,Contrast nucleus
2422,1008,E,44155,12,56,33.7,-,44,14,53,12,53,44.5,-,43,58,39,303.9,18.61,11,2422,1.27,0.17,1.29,0.19,15.9,0.36,bc,0,II,1,Dust lane
2423,1009,E,44185,12,56,45.6,-,21,58,48,12,54,5.4,-,21,42,35,304.56,40.87,60,2423,0.73,0.07,0.75,0.09,17.1,0.46,c,1,II,1,Bright knot
2424,1010,E,44271,12,57,11.9,-,46,22,34,12,54,21.3,-,46,6,21,303.97,16.48,179,2424,2.58,0.35,2.61,0.38,14.6,0.42,cd,0,II,1,Dust lane. Knots
2425,1525,--,44254,12,57,12.0,-,1,42,25,12,54,37.7,-,1,26,13,305.91,61.13,138,2425,2.46,0.34,2.22,0.37,14.7,0.07,cd,0,II,0,--
2426,1526,--,44283,12,57,16.8,+,14,13,12,12,54,47.3,+,14,29,24,309.25,77.02,94,2426,1.09,0.12,0.99,0.12,16.5,0.14,c,0,III,2,--
2427,1011,E,--,12,57,18.4,-,26,59,26,12,54,36.4,-,26,43,13,304.55,35.86,142,2427,0.8,0.09,0.71,0.1,16.9,0.33,c,0,II,1,--
2428,1527,--,44321,12,57,26.4,+,41,28,23,12,55,6.9,+,41,44,35,118.41,75.6,131,2428,1.23,0.11,1.19,0.12,16.3,0.06,cd,0,II,1,Spiral 0.5 at 2.5 NW
2429,1528,--,44358,12,57,46.8,-,9,38,2,12,55,10.3,-,9,21,50,305.54,53.21,118,2429,3.76,0.32,3.56,0.35,14.4,0.17,dm,1,II,0,--
2430,1529,--,44454,12,58,26.4,-,9,2,16,12,55,50.1,-,8,46,5,305.86,53.79,88,2430,1.4,0.11,1.42,0.12,16.3,0.14,d,0,III,0,--
2431,1530,--,44474,12,58,36.0,+,1,42,21,12,56,2.9,+,1,58,31,307.1,64.52,168,2431,1.01,0.11,1.01,0.12,16.4,0.08,dm,2,II,0,--
2432,1531,--,44506,12,58,49.0,-,6,6,46,12,56,13.6,-,5,50,35,306.28,56.71,99,2432,1.9,0.21,1.79,0.22,15.3,0.13,m,0,II,0,Wavy. Interacting?
2433,1532,--,--,12,58,57.6,+,39,23,24,12,56,37.7,+,39,39,34,116.13,77.64,98,2433,0.78,0.11,0.78,0.13,16.6,0.06,c,0,II,0,--
2434,1533,--,44631,12,59,31.2,+,42,45,32,12,57,13.1,+,43,1,42,117.45,74.28,49,2434,1.12,0.12,0.99,0.13,16.3,0.05,cd,1,II,0,--
2435,1012,E,44630,12,59,35.9,-,23,44,24,12,56,54.8,-,23,28,14,305.34,39.09,171,2435,1.07,0.13,0.89,0.11,16.3,0.57,c,1,II,0,Contrast central part
2436,1534,--,--,13,0,31.2,+,0,28,48,12,57,57.7,+,0,44,56,307.98,63.26,43,2436,0.76,0.07,0.73,0.1,17.2,0.1,cd,0,III,0,--
2437,1535,--,--,13,1,6.7,-,3,22,35,12,58,31.9,-,3,6,27,307.68,59.41,14,2437,0.83,0.11,0.67,0.11,16.8,0.12,d,0,III,1,--
2438,1013,E,--,13,1,8.4,-,32,31,16,12,58,23.7,-,32,15,8,305.3,30.31,177,2438,0.82,0.09,0.73,0.1,16.9,0.39,c,0,II,4,Diffuse f.ends. in cluster
2439,1014,E,44886,13,1,18.1,-,41,31,35,12,58,29.1,-,41,15,27,304.91,21.31,97,2439,1.01,0.13,0.79,0.11,16.4,0.46,c,0,II,3,--
2440,1536,--,--,13,1,22.8,+,4,27,35,12,58,50.4,+,4,43,43,309.34,67.21,95,2440,0.71,0.1,0.58,0.12,16.9,0.13,c,0,II,1,Diffuse compan.0.5 at 0.9NE
2441,1537,--,44931,13,1,49.4,-,8,20,10,12,59,13.2,-,8,4,3,307.35,54.45,36,2441,3.14,0.36,3.19,0.38,14.6,0.18,bc,0,III,0,Slightly eccentric dust lane
2442,1538,--,44940,13,1,55.2,-,6,55,34,12,59,19.4,-,6,39,27,307.57,55.85,106,2442,1.68,0.19,1.7,0.2,15.5,0.16,d,1,II,0,--
--,1015,E,--,13,2,4.9,-,37,36,29,12,59,17.8,-,37,20,22,305.26,25.22,25,--,0.5,0.06,0.58,0.09,17.6,0.26,c,0,III,2,--
2443,1540,--,44961,13,2,7.9,+,58,41,59,13,0,3.1,+,58,58,5,120.28,58.37,31,2443,3.92,0.32,3.25,0.31,14.5,0.04,cd,0,II,0,--
2444,1539,--,45006,13,2,26.4,-,17,40,48,12,59,47.2,-,17,24,41,306.65,45.11,43,2444,2.91,0.39,2.74,0.41,14.5,0.35,bc,0,II,1,Dust lane
2445,1016,E,--,13,2,28.7,-,36,27,14,12,59,42.0,-,36,11,8,305.41,26.36,127,2445,0.65,0.07,0.74,0.11,17.1,0.2,c,0,II,0,--
2446,1541,--,45039,13,2,48.0,+,6,47,8,13,0,16.5,+,7,3,14,311.0,69.48,133,2446,1.29,0.11,1.24,0.11,16.3,0.13,c,0,II,0,--
2447,1543,--,45058,13,2,55.4,+,55,41,39,13,0,47.8,+,55,57,45,119.56,61.36,125,2447,0.93,0.12,0.87,0.11,16.5,0.06,m,1,III,2,Blue knots
2448,1549,--,--,13,3,0.0,+,79,4,9,13,2,0.6,+,79,20,14,122.24,38.04,43,2448,0.65,0.09,0.6,0.09,17.0,0.2,d,0,II,0,--
--,1017,E,--,13,3,2.5,-,22,37,19,13,0,21.4,-,22,21,13,306.44,40.17,137,--,0.53,0.06,0.48,0.08,17.7,0.47,c,0,III,0,V.faint.Thin.In distant clust.
2449,1542,--,45084,13,3,17.0,-,17,25,23,13,0,37.6,-,17,9,17,306.95,45.36,115,2449,8.01,1.06,7.22,1.04,12.5,0.35,dm,2,IV,0,Four knots in the centre
2450,1544,--,--,13,3,31.2,+,10,25,55,13,1,0.9,+,10,42,0,313.18,73.06,4,2450,0.72,0.07,0.72,0.08,17.1,0.1,cd,0,II,2,--
2451,1546,--,--,13,3,38.6,+,55,6,6,13,1,30.7,+,55,22,10,119.22,61.94,102,2451,0.85,0.1,0.87,0.1,16.8,0.06,c,1,III,1,--
2452,1547,--,--,13,3,49.2,+,53,46,9,13,1,40.3,+,54,2,14,118.86,63.26,18,2452,0.76,0.09,0.48,0.09,17.3,0.09,dm,1,IV,5,In group's centre
2453,1545,--,45137,13,3,52.8,+,10,58,19,13,1,22.7,+,11,14,24,313.8,73.58,156,2453,1.46,0.12,1.33,0.12,16.2,0.11,cd,1,III,0,--
2454,1018,E,--,13,4,2.3,-,32,15,58,13,1,17.2,-,31,59,53,306.02,30.53,144,2454,0.94,0.1,0.98,0.11,16.6,0.35,bc,0,II,4,--
2455,1019,E,--,13,4,4.8,-,29,25,37,13,1,20.9,-,29,9,32,306.23,33.36,2,2455,0.74,0.09,0.73,0.12,16.8,0.35,cd,0,II,3,Diffuse
2456,1548,--,--,13,4,6.7,+,25,58,21,13,1,41.7,+,26,14,25,11.45,86.94,18,2456,0.95,0.11,0.87,0.12,16.7,0.05,c,0,III,2,--
2457,1550,--,--,13,4,45.4,-,16,54,12,13,2,6.2,-,16,38,8,307.51,45.85,155,2457,0.76,0.1,0.77,0.1,16.8,0.33,d,1,III,1,--
2458,1551,--,--,13,5,7.2,+,11,54,52,13,2,37.2,+,12,10,56,315.51,74.45,130,2458,0.65,0.08,0.67,0.09,17.2,0.13,c,0,III,0,About 8 more fine gals beside
2459,1020,E,45251,13,5,10.7,-,43,48,56,13,2,19.4,-,43,32,52,305.55,18.99,64,2459,1.01,0.09,1.18,0.11,16.5,0.54,cd,0,II,2,Knots. Star projected
2460,1552,--,45259,13,5,14.9,-,0,22,30,13,2,41.0,-,0,6,27,310.57,63.04,99,2460,1.09,0.13,1.11,0.12,16.3,0.09,d,0,III,0,--
2461,1553,--,--,13,5,26.4,+,25,11,28,13,3,1.5,+,25,27,30,2.06,86.31,101,2461,0.93,0.08,0.93,0.09,16.9,0.06,d,0,III,0,--
2462,1554,--,--,13,5,45.6,+,25,23,6,13,3,20.7,+,25,39,8,5.23,86.35,47,2462,0.62,0.08,0.68,0.09,17.1,0.06,c,0,II,2,--
2463,1555,--,45309,13,5,48.0,+,46,27,43,13,3,34.0,+,46,43,45,115.52,70.46,132,2463,1.37,0.19,1.47,0.21,15.7,0.04,bc,0,II,0,Dust lane
2464,1557,--,--,13,6,7.2,+,26,19,23,13,3,42.7,+,26,35,25,19.96,86.62,164,2464,0.63,0.08,0.63,0.08,17.1,0.06,d,1,II,0,Slightly knotty
2465,1556,--,--,13,6,14.4,+,1,30,30,13,3,41.2,+,1,46,32,311.44,64.14,42,2465,0.65,0.08,0.56,0.1,17.4,0.11,d,0,IV,2,2nd component of pair at 2.0S
2466,1559,--,--,13,6,15.6,+,53,31,5,13,4,7.2,+,53,47,6,118.0,63.47,40,2466,0.82,0.1,0.88,0.11,16.6,0.08,d,1,II,4,--
2467,1558,--,45366,13,6,21.8,+,29,39,28,13,3,58.9,+,29,55,30,71.42,85.86,85,2467,1.32,0.13,1.27,0.13,16.0,0.04,d,1,II,1,--
2468,1562,--,45451,13,7,24.2,+,32,51,46,13,5,2.8,+,33,7,46,92.83,83.31,163,2468,1.7,0.12,1.77,0.13,15.9,0.05,d,0,II,1,--
2469,1560,--,--,13,7,26.4,-,6,42,23,13,4,50.5,-,6,26,23,310.04,55.94,2,2469,0.65,0.09,0.59,0.1,17.2,0.17,bc,0,III,1,Sharp red nucleus
2470,1561,--,--,13,7,27.8,+,4,45,46,13,4,55.7,+,5,1,46,313.33,67.31,103,2470,1.05,0.12,1.01,0.19,16.5,0.12,c,0,III,1,--
