NGC,Extension,Components,Dreye,NAMEZH,TYPE,CLASS,CONZH,CON,RAJ2000,DECJ2000,RADJ2000,DECDJ2000,VMAG,BMAG,B-V,SB,AX,AY,ANGLE,DESP,DESPS
IC4929,,,*,,Gxy,Sb,¿×È¸×ù,PAV,20h6m42.6s,20.11183333,-71h40m52s,-71.68111111,13.5,14.3,0.8,12.7,1.4,0.4,19,"faint, small, considerably extended 15¡ã","F, S, cE 15¡ã"
IC4930,,,*,,NF,NF,ÍûÔ¶¾µ×ù,TEL,20h2m26s,20.04055556,-54h18m30s,-54.30833333,,,,,,,,"considerably bright, small, much extended 45¡ã, suspected","cB, S, mE 45¡ã, susp"
IC4931,,,*,,Gxy,E2,ÈËÂí×ù,SGR,20h0m50.1s,20.01391667,-38h34m30s,-38.575,11.8,13,1.2,13.4,2.4,2,127,"most extremely faint, pretty small, round, 8th magnitude star 20 seconds to east, eastern of 2","eeF, pS, R, * 8 f 20s, f of 2"
IC4932,,,*,,Gxy,Sa,ÍûÔ¶¾µ×ù,TEL,20h2m15.5s,20.03763889,-52h50m48s,-52.84666667,14.6,15.5,0.9,13.5,0.8,0.5,5,"brighter middle, magnitude 15","bM, magn 15"
IC4933,,,*,,Gxy,SBbc,ÍûÔ¶¾µ×ù,TEL,20h3m28.8s,20.058,-54h58m48s,-54.98,12.3,12.9,0.6,13.8,1.9,1.7,0,"extremely faint, extremely small, 2 branch spiral","eF, eS, 2 branch spir"
IC4934,,,*,,Gxy,Sc,¿×È¸×ù,PAV,20h7m14.6s,20.12072222,-69h28m49s,-69.48027778,14.2,14.9,0.7,13.6,1.6,0.4,30,"very faint, very small, considerably extended 15¡ã, a little brighter middle; suspected","vF, vS, cE 15¡ã, lbM, susp"
IC4935,,,*,,Gxy,SBa,¿×È¸×ù,PAV,20h4m34s,20.07611111,-57h35m55s,-57.59861111,12.9,13.8,0.9,12.3,1.7,0.4,177,"very faint, very small, much extended 5¡ã, star 1 arcmin to southwest; suspected","vF, vS, mE 5¡ã, * 1' sp, susp"
IC4936,,,*,,Gxy,SBd,¿×È¸×ù,PAV,20h5m52.3s,20.09786111,-61h25m42s,-61.42833333,13.6,14.2,0.6,13.5,1.5,0.8,10,"extremely faint, very small, extremely extended 20¡ã, 2 faint stars to northwest","eF, vS, eE 20¡ã, 2 F st np"
IC4937,,,*,,Gxy,Sb,ÍûÔ¶¾µ×ù,TEL,20h5m17.4s,20.08816667,-56h15m22s,-56.25611111,13.8,14.6,0.8,13.3,1.9,0.4,3,"extremely faint, very small, extremely extended 0¡ã, nuclear; suspected","eF, vS, eE 0¡ã, N, susp"
IC4938,,,*,,Gxy,SBab,¿×È¸×ù,PAV,20h6m11.6s,20.10322222,-60h12m40s,-60.21111111,12.7,13.4,0.7,13.5,1.3,1.1,29,"a remarkable object, very faint, pretty small, annular, stellar nucleus, very faint star to southeast","! vF, pS, annul, stell N, vF * sf"
IC4939,,,*,,Gxy,Sc,¿×È¸×ù,PAV,20h7m11.1s,20.11975,-60h44m18s,-60.73833333,14.3,15,0.7,13.9,1.3,0.6,158,"most extremely faint, extremely small, considerably extended 150¡ã, faint star 2 arcmin to south","eeF, eS, cE 150¡ã, F * s 2'"
IC4940,,,*,,NF,NF,ÈËÂí×ù,SGR,20h5m43.4s,20.09538889,-44h42m29s,-44.70805556,,,,,,,,"faint, small, extended 100¡ã","F, S, E 100¡ã"
IC4941,,,*,,Gxy,SBd,ÍûÔ¶¾µ×ù,TEL,20h6m58.5s,20.11625,-53h39m10s,-53.65277778,15.1,15.7,0.6,14.3,0.9,0.7,0,"faint, small, round, a little brighter middle, very diffuse","F, S, R, lbM, v dif"
IC4942,,,*,,Gxy,SBab,ÍûÔ¶¾µ×ù,TEL,20h6m49.3s,20.11369444,-52h36m37s,-52.61027778,15.5,16.3,0.8,14,0.7,0.4,130,"faint, very small, round","F, vS, R"
IC4943,,,*,,Gxy,E2,ÍûÔ¶¾µ×ù,TEL,20h6m28.2s,20.10783333,-48h22m33s,-48.37583333,12.7,13.6,0.9,13.2,1.4,1.1,38,"most extremely faint, pretty small, round, faint star to north, very difficult","eeF, pS, R, F * n, v diffic"
IC4944,,,*,,Gxy,S0-a,ÍûÔ¶¾µ×ù,TEL,20h7m9.1s,20.11919444,-54h26m48s,-54.44666667,13.7,14.6,0.9,12.6,1,0.4,6,"brighter middle, magnitude 14","bM, magn 14"
IC4945,,,*,,Gxy,Sb,¿×È¸×ù,PAV,20h11m17.1s,20.18808333,-71h0m46s,-71.01277778,13.9,14.7,0.8,12.9,1.2,0.3,178,"faint, small, extended 5¡ã, considerably brighter middle","F, S, E 5¡ã, cbM"
IC4946,,,*,ÏÄÆÕÀû-°¬Ä·Ë¹5,Gxy,SB0-a,ÈËÂí×ù,SGR,20h23m58s,20.39944444,-43h59m43s,-43.99527778,11.8,12.6,0.8,12.7,2.4,1,68,"extremely faint, small, round","eF, S, R"
IC4947,,,*,,Gxy,E3,ÍûÔ¶¾µ×ù,TEL,20h7m31.8s,20.1255,-53h8m34s,-53.14277778,13.9,15,1.1,12.9,0.8,0.6,84,"brighter middle, magnitude 15","bM, magn 15"
IC4948,,,*,,Dup,SBa,ÈËÂí×ù,SGR,20h24m27.9s,20.40775,-43h39m11s,-43.65305556,10.9,11.6,0.7,14.1,5.6,3.9,153,"very faint, pretty small, round, 2 stars to east, star to northwest","vF, pS, R, 2 st f, * np"
IC4949,,,*,,Dup,E-S0,ÍûÔ¶¾µ×ù,TEL,20h7m19.4s,20.12205556,-48h22m10s,-48.36944444,11.1,12.1,1,12.8,3,2,140,"bright, very small, considerably extended","B, vS, cE"
IC4950,,,*,,Gxy,SBbc,ÍûÔ¶¾µ×ù,TEL,20h8m27.3s,20.14091667,-56h9m43s,-56.16194444,14.4,15.2,0.8,13.5,1.3,0.4,39,"extremely faint, very small, extremely extended 35¡ã, a little brighter middle","eF, vS, eE 35¡ã, lbM"
IC4951,,,*,,Gxy,SBd,¿×È¸×ù,PAV,20h9m31.7s,20.15880556,-61h51m1s,-61.85027778,13.3,13.9,0.6,13.5,2.7,0.5,176,"very faint, very small, extremely extended 170¡ã, very much brighter middle","vF, vS, eE 170¡ã, vmbM"
IC4952,,,*,,Gxy,Sa,ÍûÔ¶¾µ×ù,TEL,20h8m37.6s,20.14377778,-55h27m12s,-55.45333333,13.1,14,0.9,12.7,1.3,0.6,8,"faint, very small, considerably extended 10¡ã","F, vS, cE 10¡ã"
IC4953,,,*,,Gxy,Sc ,¿×È¸×ù,PAV,20h10m0s,20.16666667,-62h47m31s,-62.79194444,14.9,15.7,0.8,13.2,0.6,0.4,69,"extremely faint, extremely small, considerably extended 60¡ã, between 2 extremely faint stars","eF, eS, cE 60¡ã, bet 2 eF st"
IC4954,,,*,,Nb,RN,ºüÀê×ù,VUL,20h4m45s,20.07916667,+29h15m12s,29.25333333,,,,,3,3,,"double nebulous star, irregular figure, 11th magnitude star close","D neb *, iF, * 11 close"
IC4955,,,*,,Nb,RN,ºüÀê×ù,VUL,20h4m53s,20.08138889,+29h11m24s,29.19,,,,,5,5,,fine nebulous 12th magnitude star,Fine neb * 12
IC4956,,,*,,Gxy,E1,ÍûÔ¶¾µ×ù,TEL,20h11m31.1s,20.19197222,-45h35m35s,-45.59305556,12.4,13.3,0.9,13.5,1.7,1.6,14,"very faint, pretty small, round","vF, pS, R"
IC4957,,,*,,Gxy,SBab,ÍûÔ¶¾µ×ù,TEL,20h9m35.7s,20.15991667,-55h42m32s,-55.70888889,14.5,15.3,0.8,13.7,0.9,0.6,1,"brighter middle, magnitude 14","bM, mag 14"
IC4958,,,*,,Gxy,Sc ,¿×È¸×ù,PAV,20h15m35.2s,20.25977778,-72h42m41s,-72.71138889,15.2,16,0.8,12.4,0.3,0.3,,"extremely faint, brighter middle","eF, bM"
IC4959,,,*,,NF,NF,ÍûÔ¶¾µ×ù,TEL,20h10m57s,20.1825,-53h5m24s,-53.09,,,,,,,,hazy star,Hazy star
IC4960,,,*,,Gxy,SB0,¿×È¸×ù,PAV,20h15m24s,20.25666667,-70h32m13s,-70.53694444,13.4,14.4,1,12.4,1.1,0.3,166,"extremely faint, extremely small, brighter middle","eF, eS, bM"
IC4961,,,*,,Gxy,SBd,ÍûÔ¶¾µ×ù,TEL,20h11m28.7s,20.19130556,-53h7m32s,-53.12555556,14.2,14.8,0.6,13.5,1.5,0.5,90,"faint, pretty small, much extended 90¡ã, diffuse","F, pS, mE 90¡ã, dif"
IC4962,,,*,,Gxy,Sc ,¿×È¸×ù,PAV,20h16m42.1s,20.27836111,-71h7m48s,-71.13,15.4,16.2,0.8,13.6,1.1,0.2,155,"faint, small, extremely extended 160¡ã, very much brighter middle","F, S, eE 160¡ã, vmbM"
IC4963,,,*,,Gxy,Sa,ÍûÔ¶¾µ×ù,TEL,20h12m5.5s,20.20152778,-55h14m44s,-55.24555556,13.3,14.2,0.9,12.4,1,0.5,160,"very faint, very small, round","vF, vS, R"
IC4964,,,*,,Gxy,Scd,¿×È¸×ù,PAV,20h17m23.9s,20.28997222,-73h53m7s,-73.88527778,13.8,14.5,0.7,13.2,1.3,0.7,162,"faint, small, considerably brighter middle","F, S, cbM"
IC4965,,,*,,Gxy,S0,¿×È¸×ù,PAV,20h12m27.3s,20.20758333,-56h49m34s,-56.82611111,13.7,14.8,1.1,13.7,1,1,,"brighter middle, magnitude 15","bM, magn 15"
IC4966,,,*,,Star(s),*3,ÍûÔ¶¾µ×ù,TEL,20h12m16.4s,20.20455556,-53h37m11s,-53.61972222,,,,,,,,"faint, very small, extended 40¡ã","F, vS, E 40¡ã"
IC4967,,,*,,Gxy,E1,¿×È¸×ù,PAV,20h16m23s,20.27305556,-70h33m51s,-70.56416667,13.8,14.8,1,12.9,0.7,0.6,90,"very faint, brighter middle","vF, bM"
IC4968,,,*,,Gxy,SBa,¿×È¸×ù,PAV,20h14m50s,20.24722222,-64h47m54s,-64.79833333,14.2,15,0.8,13.3,0.8,0.6,44,"very faint, small, bright star 3 arcmin to southeast","vF, S, B * sf 3'"
IC4969,,,*,,Gxy,Sa,ÍûÔ¶¾µ×ù,TEL,20h12m56.1s,20.21558333,-53h55m14s,-53.92055556,14.2,15.1,0.9,13.3,0.7,0.7,,"faint, very small, round","F, vS, R"
IC4970,,,*,,Gxy,E-S0,¿×È¸×ù,PAV,20h16m57.4s,20.28261111,-70h44m58s,-70.74944444,13.9,14.7,0.8,11.7,0.7,0.2,6,"brighter middle, near (NGC) 6872","bM, nr 6872"
IC4971,,,*,,Gxy,Sc ,¿×È¸×ù,PAV,20h17m3s,20.28416667,-70h37m13s,-70.62027778,15.3,16.1,0.8,13.6,0.8,0.3,4,"extremely faint, very small","eF, vS"
IC4972,,,*,,Gxy,Sbc,¿×È¸×ù,PAV,20h17m43s,20.29527778,-70h54m49s,-70.91361111,14.6,15.4,0.8,12.9,1.2,0.2,15,"extremely faint, very small, extremely extended 15¡ã","eF, vS, eE 15¡ã"
IC4973,,,*,,Gxy,Sc ,¿×È¸×ù,PAV,20h14m34.1s,20.24280556,-58h22m18s,-58.37166667,15,15.8,0.8,13.7,0.7,0.5,107,"most extremely faint, very small, round","eeF, vS, R"
IC4974,,1,*,,Gxy,S/P,¿×È¸×ù,PAV,20h15m26.2s,20.25727778,-61h51m26s,-61.85722222,14.4,15.2,0.8,12.7,0.5,0.5,,"extremely faint, extremely small, round, brighter middle, star 1 arcmin to southwest","eF, eS, R, bM, * sp 1'"
IC4975,,,*,,Gxy,SB0,ÍûÔ¶¾µ×ù,TEL,20h14m2.9s,20.23413889,-52h43m20s,-52.72222222,13.3,14.3,1,13.3,1.1,1,,"brighter middle, magnitude 15","bM, magn 15"
IC4976,,,*,,Gxy,Sa,¿×È¸×ù,PAV,20h15m41.3s,20.26147222,-61h52m30s,-61.875,14.7,15.6,0.9,13.4,0.9,0.4,64,"extremely faint, extremely small, round, brighter middle, star 3 arcmin to northwest","eF, eS, R, bM, * 3' np"
IC4977,,,*,,NF,NF,Ä¦ôÉ×ù,CAP,20h11m53.8s,20.19827778,-21h38m15s,-21.6375,,,,,,,,"stellar, close to 13th magnitude star","Stellar, close to * 13"
IC4978,,,*,,Gxy,S,ÍûÔ¶¾µ×ù,TEL,20h14m37.8s,20.24383333,-54h25m18s,-54.42166667,14.6,15.4,0.8,12.8,0.7,0.3,89,"brighter middle, magnitude 15","bM, magn 15"
IC4979,,,*,,Gxy,SBc,ÍûÔ¶¾µ×ù,TEL,20h14m41.9s,20.24497222,-53h27m31s,-53.45861111,14.1,14.8,0.7,13.8,1.1,0.9,4,"very faint, small, round, diffuse","vF, S, R, dif"
IC4980,,,*,,Gxy,SB0-a,¿×È¸×ù,PAV,20h15m28.9s,20.25802778,-57h54m45s,-57.9125,13.1,14,0.9,13,1.5,0.7,122,"very faint, small, a little extended 130¡ã, star 2 arcmin to south","vF, S, lE 130¡ã, * 2' s"
IC4981,,,*,,Gxy,I/P,¿×È¸×ù,PAV,20h19m39.1s,20.32752778,-70h50m54s,-70.84833333,13.1,14.1,1,11.6,1,0.3,135,"extremely faint, extremely small, star near","eF, eS, * nr"
IC4982,,,*,,Gxy,P,¿×È¸×ù,PAV,20h20m21s,20.33916667,-71h0m25s,-71.00694444,14.4,15.2,0.8,12.6,0.7,0.3,49,"very faint, brighter middle","vF, bM"
IC4983,,,*,,Gxy,SBc,ÍûÔ¶¾µ×ù,TEL,20h16m5.5s,20.26819444,-52h5m14s,-52.08722222,13.6,14.3,0.7,13.3,1,0.9,42,"very faint, considerably small, round, a little brighter middle, diffuse","vF, cS, R, lbM, dif"
IC4984,,,*,,Gxy,Sb,ÍûÔ¶¾µ×ù,TEL,20h16m17.5s,20.27152778,-52h42m12s,-52.70333333,14.6,15.4,0.8,13.6,0.9,0.5,116,"very faint, small, round, diffuse, (NGC) 6887 to east","vF, S, R, dif, 6887 f"
IC4985,,,*,,Gxy,S0,¿×È¸×ù,PAV,20h20m44.1s,20.34558333,-70h59m12s,-70.98666667,13.9,14.9,1,13,0.8,0.6,66,"very faint, brighter middle","vF, bM"
IC4986,,,*,,Gxy,SBd,ÍûÔ¶¾µ×ù,TEL,20h17m11.4s,20.2865,-55h2m9s,-55.03583333,13.6,14.2,0.6,14.1,2,0.9,20,"most extremely faint, small, considerably extended 0¡ã, between 2 faint stars","eeF, S, cE 0¡ã, bet 2 F st"
IC4987,,,*,,Gxy,SBc,ÍûÔ¶¾µ×ù,TEL,20h17m19.3s,20.28869444,-52h16m46s,-52.27944444,14.5,15.2,0.7,14.1,1,0.8,57,"faint, very small, round, a little brighter middle","F, vS, R, lbM"
IC4988,,,*,,NF,NF,¿×È¸×ù,PAV,20h21m46s,20.36277778,-69h23m27s,-69.39083333,,,,,,,,"hazy patch, perhaps a star?; suspected","Hazy patch, st ?, susp"
IC4989,,,*,,Gxy,Sbc,¿×È¸×ù,PAV,20h19m23.7s,20.32325,-58h33m6s,-58.55166667,14.5,15.3,0.8,13.1,1.1,0.3,154,"considerably small, much extended 175¡ã, spiral, faint star in middle","cS, mE 175¡ã, spir, F * M"
IC4990,,,*,,Gxy,SBc,¿×È¸×ù,PAV,20h21m25.4s,20.35705556,-66h53m26s,-66.89055556,15,15.7,0.7,13.6,0.8,0.4,23,"extremely faint, extremely small, considerably extended 15¡ã, brighter middle, suspected","eF, eS, cE 15¡ã, bM, susp"
IC4991,,,*,,NF,NF,ÈËÂí×ù,SGR,20h17m45.7s,20.29602778,-41h34m55s,-41.58194444,,,,,,,,"very faint, considerably small, round","vF, cS, R"
IC4992,,,*,,Gxy,SBc,¿×È¸×ù,PAV,20h23m27s,20.39083333,-71h33m55s,-71.56527778,13.8,14.5,0.7,12.8,2.3,0.2,58,"very faint, small, extremely extended 65¡ã, 9th magnitude star 2 arcmin to northeast","vF, S, eE 65¡ã, * 9 nf 2'"
IC4993,,,*,,Gxy,Sm,¿×È¸×ù,PAV,20h21m56.3s,20.36563889,-66h59m7s,-66.98527778,15.1,15.7,0.6,13.4,0.5,0.5,,"extremely faint, very small, round, brighter middle, suspected","eF, vS, R, bM, susp"
IC4994,,,*,,Gxy,S0,ÍûÔ¶¾µ×ù,TEL,20h19m44.3s,20.32897222,-53h26m49s,-53.44694444,12.9,13.9,1,12,0.7,0.7,,"brighter middle, magnitude 15","bM, magn 15"
IC4995,,,*,,Gxy,S0,ÍûÔ¶¾µ×ù,TEL,20h19m59s,20.33305556,-52h37m18s,-52.62166667,13.3,14.3,1,12.5,0.9,0.6,153,"brighter middle, magnitude 14","bM, magn 14"
IC4996,,,*,Ìì¶ì×ùPÐÇÍÅ,OCL,II3p,Ìì¶ì×ù,CYG,20h16m31.7s,20.27547222,+37h38m35s,37.64305556,7.3,,,,7,,,"cluster, with stars from 8th to 13th magnitude","Cl, st 8...13 (M.N., lxiv.)"
IC4997,,,*,,PN,PN,Ìì¼ý×ù,SGE,20h20m8.8s,20.33577778,+16h43m56s,16.73222222,10.5,11.6,,,0.22,,,"planetary, stellar","Planetary, stellar"
IC4998,,,*,,Gxy,SBc,ÈËÂí×ù,SGR,20h22m10.6s,20.36961111,-38h18m31s,-38.30861111,13.2,13.9,0.7,13.5,1.6,1.2,105,"extremely faint, pretty small, round, between two 8.5 magnitude stars to southwest and northeast","eF, pS, R, bet 2 st 8.5 sp, nf"
IC4999,,,*,,Gxy,SBc,Ä¦ôÉ×ù,CAP,20h23m56.3s,20.39897222,-26h0m53s,-26.01472222,12.5,13.2,0.7,13,1.8,1.1,95,"very faint, pretty large, round, among stars","vF, pL, R, am st"
IC5000,,,*,,Dup,SBab,ÌìÓ¥×ù,AQL,20h22m21.6s,20.37266667,+6h25m47s,6.429722222,13.7,14.5,0.8,13.1,1.4,0.5,63,"pretty small, extremely faint star involved","pS, eF st inv"
IC5001,,,*,,Gxy,SB0-a,ÍûÔ¶¾µ×ù,TEL,20h26m20.2s,20.43894444,-54h46m28s,-54.77444444,14.3,15.2,0.9,13.5,1.1,0.5,5,"brighter middle, magnitude 15","bM, magn 15"
IC5002,,,*,,Gxy,S0,ÍûÔ¶¾µ×ù,TEL,20h26m40s,20.44444444,-54h47m57s,-54.79916667,13.1,14.1,1,12.9,1.2,0.8,92,"brighter middle, magnitude 13","bM, magn 13"
IC5003,,,*,,Dup,Sbc,ÏÔÎ¢¾µ×ù,MIC,20h43m14s,20.72055556,-29h51m7s,-29.85194444,12.7,13.3,0.6,13,2.1,0.6,156,"very faint, considerably small, round, in line with 2 stars to southeast","vF, cS, R, 2 st sf in line"
IC5004,,,*,,Dup,SBb,ÏÔÎ¢¾µ×ù,MIC,20h31m39s,20.5275,-30h49m55s,-30.83194444,12,12.7,0.7,13.2,2.6,1.3,78,"extremely faint, pretty small, a little extended, 2 stars to south","eF, pS, lE, 2 st s"
IC5005,,,*,,Gxy,SBc,Ä¦ôÉ×ù,CAP,20h25m20s,20.42222222,-25h49m44s,-25.82888889,12.7,13.4,0.7,13.7,1.9,1.6,67,"pretty small, round, very gradually brighter middle, faint star close to northwest","pS, R, vgbM, F * close np"
IC5006,,,*,,Star(s),*2,ÌìÓ¥×ù,AQL,20h23m47s,20.39638889,+6h26m56s,6.448888889,,,,,,,,"14th magnitude star in faint, very small, round nebula","* 14 in F, vS, R neb"
IC5007,,,*,,Dup,SBcd,ÏÔÎ¢¾µ×ù,MIC,20h43m34.3s,20.72619444,-29h42m11s,-29.70305556,12.5,13.1,0.6,13.1,1.7,1.2,31,"most extremely faint, considerably large, round","eeF, cL, R"
IC5008,,,*,,Gxy,SBd,¿×È¸×ù,PAV,20h32m44.7s,20.54575,-72h41m40s,-72.69444444,14.9,15.5,0.6,13.9,1.1,0.4,79,"extremely faint, very small, a little extended 90¡ã, a little brighter middle","eF, vS, lE 90¡ã, lbM"
IC5009,,,*,,Gxy,SB0-a,¿×È¸×ù,PAV,20h32m34.4s,20.54288889,-72h10m3s,-72.1675,13.5,14.4,0.9,13,1.2,0.6,90,"very faint, very small, brighter middle","vF, vS, bM"
IC5010,,,*,,Gxy,Sb,¿×È¸×ù,PAV,20h30m26.5s,20.50736111,-66h5m51s,-66.0975,15.1,15.9,0.8,13.3,0.7,0.3,0,"very faint, very small, considerably extended 20¡ã, much brighter middle","vF, vS, cE 20¡ã, mbM"
IC5011,,,*,,Gxy,SB0,ÏÔÎ¢¾µ×ù,MIC,20h28m33.8s,20.47605556,-36h1m38s,-36.02722222,11.7,12.7,1,12.8,2.4,1.3,19,"pretty bright, very small, very much extended","pB, vS, vmE"
IC5012,,,*,,Gxy,SBc,¿×È¸×ù,PAV,20h29m32s,20.49222222,-56h44m36s,-56.74333333,14.6,15.3,0.7,13.8,1.1,0.5,70,"pretty small, extended 225¡ã, a little brighter middle","pS, E 225¡ã, lbM"
IC5013,,,*,,Gxy,E1,ÏÔÎ¢¾µ×ù,MIC,20h28m34.9s,20.47636111,-36h2m33s,-36.0425,14,15,1,13.1,0.7,0.6,172,"pretty bright, very small, very much extended","eS, vmE ns"
IC5014,,,*,,Gxy,S0,¿×È¸×ù,PAV,20h35m15.6s,20.58766667,-73h27m9s,-73.4525,13.6,14.6,1,11.9,0.5,0.5,,"faint, small, brighter middle, between 2 faint stars","F, S, bM, bet 2 F st"
IC5015,,,*,,NF,NF,ÏÔÎ¢¾µ×ù,MIC,20h28m34.5s,20.47625,-31h42m5s,-31.70138889,,,,,,,,"pretty bright, pretty small, round, nearly between 2 stars","pB, pS, R, nearly bet 2 st"
IC5016,,,*,,Gxy,SB?,¿×È¸×ù,PAV,20h35m37.3s,20.59369444,-72h54m41s,-72.91138889,15,15.8,0.8,13.7,0.6,0.6,,"most extremely faint, extremely small, 11th magnitude star 1 arcmin to southwest","eeF, eS, * 11 sp 1'"
IC5017,,,*,,Gxy,S0     R,Ó¡µØ°²×ù,IND,20h32m3.9s,20.53441667,-57h35m14s,-57.58722222,13.8,14.8,1,13.2,1,0.6,5,"brighter middle, magnitude 14.5","bM, magn 14.5"
IC5018,,,*,,Dup,SBc,ÈËÂí×ù,SGR,20h22m10.6s,20.36961111,-38h18m31s,-38.30861111,13.2,13.9,0.7,13.5,1.6,1.2,105,"extremely faint, pretty small, round, between two 8.5 magnitude stars to southwest and northeast","eF, pS, R, bet 2 st 8.5 sp, nf"
IC5019,,,*,,NF,NF,ÏÔÎ¢¾µ×ù,MIC,20h30m52s,20.51444444,-36h19m18s,-36.32166667,,,,,,,,"very faint, considerably small, round","vF, cS, R"
IC5020,,,*,,Gxy,Sb,ÏÔÎ¢¾µ×ù,MIC,20h30m38.4s,20.51066667,-33h29m8s,-33.48555556,12.3,13.1,0.8,14.1,2.9,2,153,"pretty faint, pretty small, a little extended","pF, pS, iE"
IC5021,,,*,,Gxy,S/P,Ó¡µØ°²×ù,IND,20h33m34.3s,20.55952778,-54h31m17s,-54.52138889,14.3,15,0.7,13,0.8,0.6,2,"very small, round disc, magnitude 14","vS, R disc, magn 14"
IC5022,,,*,,Gxy,SBR,ÄÏ¼«×ù,OCT,20h41m6.3s,20.68508333,-76h26m59s,-76.44972222,14.7,15.5,0.8,13.9,0.9,0.6,142,"extremely faint, small, round, considerably brighter middle, suspected","eF, S, R, cbM, susp"
IC5023,,,*,,Gxy,Sa,¿×È¸×ù,PAV,20h38m10s,20.63611111,-67h11m4s,-67.18444444,13.3,14.2,0.9,12.8,1.4,0.5,118,"faint, small, considerably extended 130¡ã","F, S, cE 130¡ã"
IC5024,,,*,,Gxy,SBc,¿×È¸×ù,PAV,20h40m9.5s,20.66930556,-71h6m30s,-71.10833333,14.3,15,0.7,13.7,0.9,0.8,101,"extremely faint, small, much extended 15¡ã","eF, S, mE 15¡ã"
IC5025,,,*,,Gxy,Sbc,ÄÏ¼«×ù,OCT,20h44m59.6s,20.74988889,-76h59m4s,-76.98444444,14.4,15.2,0.8,13.4,1.5,0.3,108,"very faint, very small, considerably extended 125¡ã, brighter middle, suspected","vF, vS, cE 125¡ã, bM, susp"
IC5026,,,*,,Gxy,Scd,ÄÏ¼«×ù,OCT,20h48m27.6s,20.80766667,-78h4m8s,-78.06888889,14.8,15.5,0.7,14.2,2.3,0.3,76,"extremely faint, very small, much extended 70¡ã, a little brighter middle, suspected","eF, vS, mE 70¡ã, lbM, susp"
IC5027,,,*,,Gxy,Sc ,Ó¡µØ°²×ù,IND,20h41m8.9s,20.68580556,-55h28m21s,-55.4725,14.5,15.3,0.8,12.8,0.5,0.5,,"round, magnitude 15","R, magn 15"
IC5028,,,*,,Gxy,IB,¿×È¸×ù,PAV,20h43m22.2s,20.72283333,-65h38m49s,-65.64694444,14.6,15.2,0.6,14.6,1.2,1,,"very faint, diffuse, 10th magnitude star 2 arcmin to south, suspected","vF, dif, * 10 s 2', susp"
IC5029,,,*,,Gxy,Sbc,ÏÔÎ¢¾µ×ù,MIC,20h43m14s,20.72055556,-29h51m7s,-29.85194444,12.7,13.3,0.6,13,2.1,0.6,156,"very faint, considerably small, round, in line with 2 stars to southeast","eeF, eS, mE, F * sf, np of 2"
IC5030,,,*,,Gxy,SBcd,ÏÔÎ¢¾µ×ù,MIC,20h43m34.3s,20.72619444,-29h42m11s,-29.70305556,12.5,13.1,0.6,13.1,1.7,1.2,31,"most extremely faint, considerably large, round","eeF, vS, mE, v dif, sf of 2"
IC5031,,,*,,Gxy,S,¿×È¸×ù,PAV,20h45m20.2s,20.75561111,-67h32m21s,-67.53916667,12.9,13.7,0.8,11.2,0.7,0.4,31,"extremely faint, extremely small, round, suspected","eF, eS, R, susp"
IC5032,,,*,,Gxy,S,¿×È¸×ù,PAV,20h45m22.1s,20.75613889,-67h33m5s,-67.55138889,12.9,13.4,0.5,11.4,0.7,0.4,156,"extremely faint, extremely small, round, suspected","eF, eS, R, susp"
IC5033,,,*,,Gxy,Sc ,Ó¡µØ°²×ù,IND,20h43m55.1s,20.73197222,-57h20m4s,-57.33444444,14.5,15.3,0.8,13.6,1,0.5,45,"very small, round, a little brighter middle, magnitude 15","vS, R, lbM, magn 15"
IC5034,,,*,,Gxy,Sbc,Ó¡µØ°²×ù,IND,20h43m41.7s,20.72825,-57h1m48s,-57.03,13.6,14.4,0.8,13.5,1.5,0.7,22,"brighter middle, magnitude 14.5","bM, magn 14.5"
IC5035,,,*,,Gxy,Sb,Ó¡µØ°²×ù,IND,20h44m14.5s,20.73736111,-57h7m39s,-57.1275,15.1,15.9,0.8,13.3,0.7,0.3,128,"very small, round, a little brighter middle, magnitude 15","vS, R, lbM, magn 15"
IC5036,,,*,,Gxy,Sbc,Ó¡µØ°²×ù,IND,20h44m37.4s,20.74372222,-57h37m35s,-57.62638889,15.5,16.3,0.8,13.8,0.8,0.3,118,"faint, pretty small, much extended 125¡ã","F, pS, mE 125¡ã"
IC5037,,,*,,Gxy,Sc,Ó¡µØ°²×ù,IND,20h45m39.3s,20.76091667,-58h26m59s,-58.44972222,14.6,15.3,0.7,12.7,1,0.2,159,"faint, pretty small, much extended 170¡ã","F, pS, mE 170¡ã"
IC5038,,,*,,Gxy,Sc,¿×È¸×ù,PAV,20h46m51.3s,20.78091667,-65h1m0s,-65.01666667,12.6,13.4,0.8,13.3,1.4,0.7,75,"very faint, very small, round, almost stellar","vF, vS, R, alm stell"
IC5039,,,*,,Dup,Sbc,ÏÔÎ¢¾µ×ù,MIC,20h43m14s,20.72055556,-29h51m7s,-29.85194444,12.7,13.3,0.6,13,2.1,0.6,156,"very faint, considerably small, round, in line with 2 stars to southeast","eeF, pS, vmE, sp of 2"
IC5040,,,*,,Gxy,Sd,ÄÏ¼«×ù,OCT,20h52m19.5s,20.87208333,-76h41m11s,-76.68638889,14.6,15.2,0.6,13.7,0.8,0.6,6,"considerably bright, small, round, suspected","cB, S, R, susp"
