Note,ID, ,hr,min,deg,min,Con.,Type,2000,Uran,VPSA,V-mag,arc-min,Brightness,C1,MDM,Comments
 ,NGC 5905, ,15,15.4,55,31,Dra,SBb,2,50,33,13.1,4.4x3.2,24.6,-0.1,24,near NGC 5908
 ,NGC 5897, ,15,17.4,-21,1,Lib,Glob,21,334,290,9,8.5x8.5,22.3,0.8,9, 
 ,NGC 5907, ,15,15.9,56,20,Dra,Sb,2,50,33,11,11.0x0.6,21.7,1,128, 
 ,NGC 5908, ,15,16.7,55,25,Dra,Sb,2,50,33,13,2.4x0.4,21.6,1.1,192,equatorial dust lane
!,NGC 5904,M5,15,18.5,2,5,Ser,Glob,14,244,218,6.2,13x13,20.4,1.5,6,M5
 ,NGC 5962, ,15,36.5,16,36,Ser,Sc,15,199,147,11.9,2.2x1.3,21.7,1,59, 
 ,NGC 5985, ,15,39.6,59,20,Dra,Sb,2,51,33,12,4.3x2.1,23,0.5,37, 
 ,NGC 5986, ,15,46.1,-37,46,Lup,Glob,21,374,354,8,5x5,20.1,1.7,15, 
 ,SP1, ,15,51.1,-51,30,Nor,Plan,25,432,379,8.5,1.2x1.2,17.5,2.7,64,"ring, 13.5m central star"
 ,NGC 6027, ,15,59.2,20,46,Ser,E,7,155,147,14,1.7x1.3,23.5,0.3,59,5 close galaxies
 ,NGC 6025, ,16,3.7,-60,30,TrA,OpCl,26,432,399,6,10x10,19.6,1.8,8,30 stars mag 7+
 ,NGC 6067, ,16,13.2,-54,13,Nor,OpCl,26,432,380,8,15x15,22.5,0.7,5,100 stars mag 10+
 ,NGC 6093,M80,16,17.1,-22,59,Sco,Glob,22,336,292,8,7x7,20.9,1.4,11,M80
 ,NGC 6101, ,16,25.7,-72,13,Aps,Glob,26,454,415,10,4x4,21.6,1,19, 
!*,NGC 6121,M4,16,23.7,-26,31,Sco,Glob,22,336,325,7.4,20x20,22.5,0.7,4,M4
 ,NGC 6124, ,16,25.6,-40,42,Sco,OpCl,22,407,355,8,25x25,23.6,0.3,3,100 stars mag 9 to 12
 ,NGC 6152, ,16,32.7,-52,37,Nor,OpCl,26,433,380,8,30x30,24,0.1,3,60 stars mag 9+
 ,NGC 6144, ,16,27.3,-26,3,Sco,Glob,22,336,325,10,3x3,21,1.3,26, 
 ,NGC 6171,M107,16,32.5,-13,3,Oph,Glob,15,291,256,8.1,3x3,19.1,2.1,26,M107
 ,NGC 6153, ,16,31.4,-40,15,Sco,Plan,22,407,355,11.5,0.33x0.3,3 17.7,2.6,233, 
 ,NGC 6188, ,16,39.7,-49,1,Ara,Neb,22,407,380,?,20x12,?, , ,bright and dark nebulae
 ,NGC 6192, ,16,40.3,-43,23,Sco,OpCl,22,407,355,10,7x7,22.9,0.6,11, 
 ,NGC 6193, ,16,41.3,-48,46,Ara,OpCl,22,407,380,5.2,15x15,19.7,1.8,5,about 30 stars near NGC 6188
!!!*,NGC 6205,M13,16,41.7,36,27,Her,Glob,8,114,83,5.7,23x23,21.1,1.2,3,"M13, spectacular"
 ,NGC 6207, ,16,43.1,36,50,Her,Sc,8,114,83,12.3,2.0x1.0,21.7,1,77,near M13
 ,NGC 6210, ,16,44.6,23,47,Her,Plan,8,156,149,9.7,0.33x0.2,7 15.7,3.4,284,central star 12.5
 ,NGC 6218,M12,16,47.2,-1,57,Oph,Glob,15,246,221,8,10x10,21.6,1,8,M12
 ,NGC 6229, ,16,47.0,47,32,Her,Glob,8,80,56,8.7,3.5x3.5,20,1.7,22, 
 ,NGC 6231, ,16,54.2,-41,48,Sco,OpCl,22,407,355,6,15x15,20.5,1.5,5,100 stars mag 7 to 13
 ,H12, ,16,56.2,-40,43,Sco,OpCl,22,407,355,?,40x40,?, , ,200 stars
 ,NGC 6254,M10,16,57.1,-4,7,Oph,Glob,15,247,221,7,8x8,20.1,1.6,10,M10
 ,NGC 6259, ,17,0.7,-44,41,Sco,OpCl,22,407,355,10,15x15,24.5,-0.1,5,100 stars mag 11+
 ,NGC 6266,M62,17,1.3,-30,7,Sco,Glob,22,376,326,6.5,6x6,19,2.1,13,M62
 ,NGC 6273,M19,17,2.6,-26,15,Oph,Glob,22,337,326,7,6x6,19.5,1.9,13,M19
 ,NGC 6302, ,17,13.9,-37,7,Sco,Neb,22,376,356,?,2x1,?, , ,figure 8 shape
 ,NGC 6318, ,17,17.8,-39,27,Sco,OpCl,22,408,356,11,5x5,23.1,0.5,15,60 stars mag 12 to 14
!,NGC 6341,M92,17,17.1,43,9,Her,Glob,8,81,84,6.5,8x8,19.6,1.8,10,M92
 ,NGC 6333,M9,17,19.1,-18,31,Oph,Glob,15,337,293,8,4x4,19.6,1.8,19,M9
 ,NGC 6334, ,17,20.6,-36,4,Sco,Neb,22,376,356,?,30x30,?, , , 
 ,NGC 6337, ,17,22.3,-38,28,Sco,Plan,22,376,356,?,0.6x0.5,?, , , 
 ,B72, ,17,23.5,-23,38,Oph,DNeb,22,338,294,-,30x30,-,-, ,dark S nebula: the Snake
 ,NGC 6357, ,17,24.6,-34,10,Sco,Neb,22,376,327,?,4x1,?, , , 
 ,NGC 6352, ,17,25.4,-48,29,Ara,Glob,22,408,381,9,8x8,22.1,0.8,10, 
 ,NGC 6362, ,17,31.8,-67,3,Ara,Glob,26,455,416,8,9x9,21.4,1.1,9, 
 ,NGC 6384, ,17,32.3,7,4,Oph,Sb,15,203,186,12.3,4.0x3.0,23.6,0.2,26, 
 ,B78, ,17,33.0,-26,0,Oph,DNeb,22,338,327,-,200x140,-,-, ,bowl of Pipe Nebula
 ,NGC 6388, ,17,36.3,-44,45,Sco,Glob,22,408,356,7,4x4,18.6,2.2,19, 
 ,NGC 6402,M14,17,37.6,-3,15,Oph,Glob,15,248,222,9,6x6,21.5,1.1,13,M14
 ,NGC 6397, ,17,40.9,-53,41,Ara,Glob,26,434,381,7,19x19,22,0.9,4,may be nearest globular
!,NGC 6405,M6,17,40.1,-32,13,Sco,OpCl,22,377,327,6,25x25,21.6,1.1,3,M6
 ,NGC 6441, ,17,50.2,-37,3,Sco,Glob,22,377,356,8,3x3,19,2.1,26, 
!,NGC 6475,M7,17,54.0,-34,49,Sco,OpCl,22,377,327,5,60x60,22.5,0.7,1,M7
S!,NGC 6494,M23,17,56.9,-19,1,Sgr,OpCl,15,339,294,7,25x25,22.6,0.7,3,M23
 ,NGC 6543, ,17,58.8,66,38,Dra,Plan,3,30,18,8.6,0.4x0.3,14.9,3.7,256,central star mag 10
!!!*,NGC 6514,M20,18,1.9,-23,2,Sgr,Neb,22,339,294,8.5,29x27,24.4,0,3,"M20, Trifid Nebula"
 ,B86, ,18,3.1,-27,50,Sgr,DNeb,22,339,328,-,4.5x3,-,-, ,dark nebula
 ,NGC 6520, ,18,3.5,-27,54,Sgr,OpCl,22,339,328,9,5x5,21.1,1.3,15,25 stars mag 9 to 12
 ,B87, ,18,4.3,-32,30,Sgr,DNeb,22,377,328,-,12x12,-,-, ,Parrot's Head
!!!*,NGC 6523,M8,18,4.7,-24,20,Sgr,Neb,22,339,295,5,80x40,22.4,0.7,2,"M8, Lagoon Nebula"
*,NGC 6530, ,18,4.7,-24,20,Sgr,OpCl,22,339,295,6,10x10,19.6,1.8,8,cluster in M8
 ,NGC 6531,M21,18,4.8,-22,30,Sgr,OpCl,22,339,295,7,10x10,20.6,1.4,8,M21
 ,NGC 6569, ,18,13.7,-31,49,Sgr,Glob,22,377,328,10,2x2,20.1,1.6,38, 
 ,B92, ,18,15.6,-18,19,Sgr,DNeb,15,339,295,-,15x15,-,-, ,dark nebula
 ,NGC 6584, ,18,18.6,-52,13,Tel,Glob,26,434,382,8.5,6x6,21,1.3,13, 
!,M24,M24,18,18.4,-18,26,Sgr,OpCl,15,339,295,4.5,60x90,22.5,0.7,1,M24
 ,NGC 6603, ,18,18.4,-18,26,Sgr,OpCl,15,339,295,11.4,4x4,23,0.5,19,within M24
*,NGC 6611,M16,18,18.8,-13,47,Ser,Neb,15,294,259,6.5,25x25,22.1,0.9,3,"M16, nebula +60 stars"
 ,NGC 6613,M18,18,19.9,-17,8,Sgr,OpCl,15,339,295,8,7x7,20.9,1.4,11,M18
!!!*,NGC 6618,M17,18,20.9,-16,11,Sgr,Neb,15,294,295,6,45x35,22.6,0.7,2,"M17, Omega Nebula"
 ,NGC 6624, ,18,23.7,-30,22,Sgr,Glob,22,378,328,8.5,3x3,19.5,1.9,26, 
 ,NGC 6643, ,18,19.7,74,35,Dra,Sc,3,12,19,12,3.0x1.3,22.1,0.9,59,central star mag 10
 ,NGC 6626,M28,18,24.6,-24,52,Sgr,Glob,22,340,295,8,6x6,20.5,1.5,13,M28
 ,NGC 6629, ,18,25.7,-23,12,Sgr,Plan,22,340,295,10.5,0.25x0.2,5 16.1,3.3,307,central star mag 13.5
 ,NGC 6638, ,18,31.0,-25,30,Sgr,Glob,22,340,328,9.5,2x2,19.6,1.8,38, 
 ,NGC 6637,M69,18,31.4,-32,21,Sgr,Glob,22,378,328,7.5,4x4,19.1,2,19,M69
 ,I.4725,M25,18,31.7,-19,15,Sgr,OpCl,16,340,295,6,35x35,22.3,0.8,2,M25
 ,NGC 6642, ,18,31.8,-23,29,Sgr,Glob,22,340,295,8,2x2,18.1,2.4,38, 
 ,NGC 6645, ,18,32.7,-16,54,Sgr,OpCl,16,295,295,9,10x10,22.6,0.6,8,75 stars mag 11 to 15
 ,NGC 6649, ,18,33.5,-10,24,Sct,OpCl,16,295,259,9,9x9,22.4,0.7,9, 
 ,NGC 6652, ,18,35.8,-33,0,Sgr,Glob,22,378,328,8.5,2x2,18.6,2.2,38, 
!!,NGC 6656,M22,18,36.4,-23,56,Sgr,Glob,22,340,295,6,18x18,20.9,1.3,4,M22
 ,NGC 6664, ,18,36.7,-8,14,Sct,OpCl,16,295,259,9,18x18,23.9,0.1,4, 
 ,I.4756, ,18,39.1,5,29,Ser,OpCl,16,250,187,6,70x70,23.9,0.2,1,80 stars mag 7+
 ,NGC 6681,M70,18,43.3,-32,18,Sgr,Glob,22,378,328,8,4x4,19.6,1.8,19,M70
 ,NGC 6694,M26,18,45.2,-9,24,Sct,OpCl,16,295,260,9.5,9x9,22.9,0.5,9,M26
!!*,NGC 6705,M11,18,51.1,-6,16,Sct,OpCl,16,295,260,6,12x12,20,1.7,6,M11
 ,NGC 6709, ,18,51.5,10,21,Aql,OpCl,16,205,188,8,12x12,22,0.9,6, 
 ,NGC 6712, ,18,53.0,-8,43,Sct,Glob,16,295,260,9,3x3,20,1.7,26, 
!!*,NGC 6720,M57,18,53.6,33,2,Lyr,Plan,8,117,117,9,1.3x1.0,17.9,2.5,77,"M57, the Ring Nebula"
 ,NGC 6715,M54,18,55.2,-30,28,Sgr,Glob,22,378,329,9,6x6,21.5,1.1,13,M54
 ,NGC 6723, ,18,59.6,-36,38,Sgr,Glob,22,378,358,6,7x7,18.9,2.2,11, 
 ,NGC 6726, ,19,1.7,-36,53,CrA,Neb,22,379,358,?,2x2,?, , ,nebula around var. star
 ,NGC 6727, ,19,1.7,-36,52,CrA,Neb,22,379,358,?,2x2,?, , ,nebula around var. star
 ,NGC 6729, ,19,1.8,-36,58,CrA,Neb,22,379,358,?,1x1,?, , ,nebula around var. star
 ,B133, ,19,7.2,-6,0,Aql,DNeb,16,296,260,-,10x5,-,-, ,dark oval nebula
 ,NGC 6744, ,19,9.7,-63,51,Pav,SBc,26,456,402,10.6,9.0x9.0,24,0.1,9, 
 ,NGC 6752, ,19,10.8,-59,59,Pav,Glob,26,435,402,7,15x15,21.5,1.1,5, 
 ,NGC 6779,M56,19,16.5,30,10,Lyr,Glob,8,118,117,8,5x5,20.1,1.7,15,M56
 ,NGC 6781, ,19,18.4,6,31,Aql,Plan,16,206,188,12.5,1.75x1.7,5 22.3,0.8,44,central star mag 15.5
 ,NGC 6791, ,19,20.8,37,46,Lyr,OpCl,8,118,86,11,20x20,26.1,-0.8,4,couple of hundred stars
 ,NGC 6811, ,19,38.2,46,34,Cyg,OpCl,8,84,59,9,15x15,23.5,0.3,5,50 stars mag 11 to 14
 ,NGC 6809, ,19,40.1,-30,56,Sgr,Glob,22,380,330,7,15x15,21.5,1.1,5, 
 ,B143, ,19,40.4,11,7,Aql,DNeb,16,207,189,-,30x30,-,-, ,dark two-pronged nebula
 ,NGC 6819, ,19,41.3,40,13,Cyg,OpCl,8,84,86,10,6x6,22.5,0.7,13,150 stars mag 11 to 15
 ,NGC 6814, ,19,42.6,-10,18,Aql,Sb,16,297,261,12.2,2.0x2.0,22.3,0.8,38, 
 ,NGC 6820, ,19,43.2,23,17,Vul,Neb,8,162,153,?,20x20,?, , ,in cluster NGC 6823
 ,NGC 6818, ,19,43.9,-14,10,Sgr,Plan,16,297,261,10,0.4x0.4,16.6,3,192, 
S,NGC 6823, ,19,43.2,23,19,Vul,OpCl,8,162,153,10,5x5,22.1,0.9,15,30 stars mag 11+
 ,NGC 6822, ,19,44.9,-14,46,Sgr,Irr,16,297,261,10,20x10,24.4,-0.1,8, 
 ,NGC 6826, ,19,44.7,50,31,Cyg,Plan,3,55,59,8.8,0.4x0.4,15.4,3.5,192,central star mag 11
 ,NGC 6834, ,19,52.2,29,25,Vul,OpCl,8,119,118,10,4x4,21.6,1,19,50 stars mag 11+
 ,NGC 6838,M71,19,53.7,18,47,Sgr,Glob,16,162,153,9,6x6,21.5,1.1,13,M71
 ,NGC 6842, ,19,55.0,29,17,Vul,Plan,8,119,118,13,0.8x0.7,5 21.1,1.3,102,central star mag 14.5
!!*,NGC 6853,M27,19,59.6,22,43,Vul,Plan,8,162,153,8,8x6,20.8,1.4,13,"M27, the Dumbbell Nebula"
 ,NGC 6866, ,20,3.7,44,10,Cyg,OpCl,9,84,87,8,8x8,21.1,1.2,10,50 stars mag 10+
 ,NGC 6864,M75,20,6.1,-21,55,Sgr,Glob,23,343,298,8,3x3,19,2.1,26,M75
 ,NGC 6884, ,20,10.4,46,28,Cyg,Plan,9,84,60,12.5,0.1x0.1,16.1,3.2,768, 
*,NGC 6888, ,20,12.5,38,25,Cyg,Neb,9,119,87,?,18x12,?, , ,Crescent Nebula
 ,NGC 6891, ,20,15.2,12,44,Del,Plan,16,208,190,10,0.2x0.1,14.4,3.9,768, 
S,NGC 6910, ,20,23.0,40,48,Cyg,OpCl,9,84,87,6.5,8x8,19.6,1.8,10,40 stars mag 10+
 ,NGC 6907, ,20,25.1,-24,48,Cap,SBb,23,343,298,12.1,2.5x2.0,22.5,0.7,38,S-shaped spiral
 ,NGC 6913,M29,20,24.0,38,31,Cyg,OpCl,9,120,87,7,7x7,19.9,1.8,11,M29: 20 stars mag 8+
 ,NGC 6939, ,20,31.4,60,38,Cep,OpCl,3,56,37,10,8x8,23.1,0.4,10,100 stars mag 12 to 16
 ,NGC 6934, ,20,34.1,7,24,Del,Glob,16,209,190,9,2x2,19.1,2,38, 
 ,NGC 6940, ,20,34.6,28,18,Vul,OpCl,9,120,119,8,20x20,23.1,0.4,4,100 stars mag 9+
!*,NGC 6946, ,20,35.0,60,8,Cep,Sc,3,56,37,11.1,8.0x8.0,24.2,0,10,near NGC 6939
 ,NGC 6951, ,20,37.1,66,7,Cep,SB,3,32,20,12.3,3.5x3.5,23.6,0.2,22, 
!!*,NGC 6960, ,20,45.7,30,43,Cyg,Neb,9,120,119,8,70x6,23.2,0.4,13,Veil Nebula
 ,NGC 6981,M72,20,53.5,-12,33,Aqr,Glob,16,299,263,8.6,3x3,19.6,1.9,26,M72
!!*,NGC 6992,-5,20,56.4,31,42,Cyg,Neb,9,120,119,5 8.,78x8,23.6,0.3,10,Veil Nebula
 ,NGC 6997, ,20,56.5,44,39,Cyg,OpCl,9,85,88,10,7x7,22.9,0.6,11,cluster in NGC 7000
 ,NGC 6994,M73,20,58.9,-12,39,Aqr,OpCl,16,299,263,10,1x1,18.6,2.2,77,M73 (four stars)
!*,NGC 7000, ,20,58.8,44,20,Cyg,Neb,9,85,88,5,100x100,23.6,0.2,1,North America Nebula
 ,NGC 7006, ,21,1.4,16,12,Del,Glob,16,209,155,11.5,1x1,20.1,1.6,77, 
 ,NGC 7008, ,21,0.6,54,33,Cyg,Plan,3,56,60,12,1.4x1.2,21.2,1.2,64,central star mag 13
 ,NGC 7009, ,21,4.1,-11,22,Aqr,Plan,16,300,263,8,0.4x0.4,14.6,3.8,192,Saturn Nebula
 ,NGC 7023, ,21,2.0,68,10,Cep,Neb,3,33,20,?,18x18,?, , ,nebula around 7 mag star
 ,NGC 7026, ,21,6.3,47,51,Cyg,Plan,9,85,61,12,0.4x0.4,18.6,2.2,192,central star mag 15
 ,NGC 7027, ,21,7.0,42,14,Cyg,Plan,9,85,88,9,0.3x0.2,14.6,3.9,384, 
S,NGC 7031, ,21,7.3,50,50,Cep,OpCl,3,56,61,10,6x6,22.5,0.7,13,50 stars mag 11+
 ,NGC 7048, ,21,14.4,46,16,Cyg,Plan,9,86,61,11,1.0x0.9,19.5,1.9,85,central star mag 18
!!*,NGC 7078,M15,21,30.0,12,10,Peg,Glob,17,210,192,6.5,10x10,20.1,1.6,8,M15
 ,NGC 7086, ,21,31.5,51,35,Cyg,OpCl,3,57,61,9,8x8,22.1,0.8,10,50 stars mag 11+
 ,NGC 7092,M39,21,32.2,48,26,Cyg,OpCl,9,86,61,5,30x30,21,1.3,3,"M39, 25 stars mag 7+"
*,NGC 7089,M2,21,33.5,0,50,Aqr,Glob,17,255,228,6,7x7,18.9,2.2,11,M2
 ,NGC 7099,M30,21,40.3,-23,11,Cap,Glob,23,346,300,8,6x6,20.5,1.5,13,M30
 ,NGC 7217, ,22,7.8,31,22,Peg,Sb,9,122,121,11.3,2.7x2.4,22,0.9,32, 
S,NGC 7235, ,22,12.5,57,15,Cep,OpCl,3,57,38,9,4x4,20.6,1.4,19,about 25 stars
 ,NGC 7243, ,22,15.2,49,53,Lac,OpCl,9,87,62,8,20x20,23.1,0.4,4, 
!!*,NGC 7293, ,22,29.7,-20,51,Aqr,Plan,23,347,301,6.5,12x16,20.8,1.4,6,the Helix Nebula
*,NGC 7331, ,22,37.1,34,26,Peg,Sb,9,123,122,10.4,10.0x2.4,22.5,0.7,32,Stephan's Quintet 0.5 deg SSW
 ,NGC 7410, ,22,54.9,-39,40,Gru,SB,23,415,362,11.8,4.0x1.1,22,0.9,70, 
 ,NGC 7418, ,22,56.6,-37,1,Gru,SBc,23,384,362,11.8,2.8x2.5,22.5,0.7,31, 
 ,NGC 7479, ,23,4.9,12,19,Peg,SBb,17,213,194,11.8,3.2x3.5,23.1,0.5,24,S-shape
 ,NGC 7510, ,23,11.3,60,34,Cep,OpCl,3,58,39,9,3x3,20,1.7,26,30 stars mag 10+
 ,NGC 7582, ,23,18.6,-42,22,Gru,SBb,23,415,363,11.8,3.0x3.0,22.8,0.6,26,"group with NGC 7590, 7599"
 ,NGC 7590, ,23,19.1,-42,15,Gru,Sb,23,415,363,11.9,2.2x0.8,21.1,1.2,96,"group with NGC 7582, 7599"
 ,NGC 7599, ,23,19.5,-42,16,Gru,SBc,23,415,363,12,3.8x1.2,22.3,0.8,64,"group with NGC 7582, 7590"
 ,NGC 7619, ,23,20.3,8,11,Peg,E1,17,214,194,12.6,0.8x0.6,20.4,1.5,128,near NGC 7826
 ,NGC 7626, ,23,20.7,8,12,Peg,E2,17,214,194,12.7,0.9x0.7,20.8,1.4,110,near NGC 7619
 ,NGC 7635, ,23,20.7,61,10,Cas,Neb,3,34,39,11,10x5,23.9,0.1,15,the Bubble Nebula
 ,NGC 7654,M52,23,24.2,61,36,Cas,OpCl,3,15,39,7,12x12,21,1.3,6,"M52, 120 stars mag 9+"
*,NGC 7662, ,23,25.9,42,33,And,Plan,9,88,91,8.5,0.5x0.5,15.6,3.5,154,central star mag 14
 ,NGC 7789, ,23,57.0,56,43,Cas,OpCl,3,35,39,10,20x20,25.1,-0.4,4,900 stars mag 11+
 ,NGC 7793, ,23,57.9,-32,34,Scl,Sd,23,350,335,9.7,6.0x4.0,21.8,1,19, 
